index,date,real_open_straddle,model_open_straddle,real_1510_straddle,model_1510_straddle
NIFTY,2026-08-04,97.25,111.96408613810127,109.35,57.2281679550797
NIFTY,2026-08-11,134.15,94.46642863261695,57.65,46.63795728093464
NIFTY,2026-08-18,82.9,88.09752310668591,58.35,45.39494502279922
NIFTY,2026-08-25,86.1,81.4511206493662,43.75,41.09777809469051
SENSEX,2026-08-06,523.6,342.23297154197644,502.25,174.00648084929708
SENSEX,2026-08-13,356.35,317.5723788302712,134.35,164.77997025903824
SENSEX,2026-08-20,252.45,279.1700093018444,139.1,141.5508974360855
BANKNIFTY,2026-08-25,266.4,247.64942383056405,116.5,130.07502590379954
