index,date,side,strike,otm_pts,p1515_est,settle,net_pct
NIFTY,2026-08-04,CE,24500.0,36.54999999999927,13.379705518774244,114.90000000000146,724.2249797393716
NIFTY,2026-08-04,PE,24450.0,13.450000000000728,21.693809900179986,0.0,-102.252880430394
NIFTY,2026-08-11,CE,24500.0,49.75,6.257786325784764,0.0,-107.39887258779133
NIFTY,2026-08-11,PE,24450.0,0.25,22.943866317707943,0.0,-102.13275401430835
NIFTY,2026-08-18,CE,24200.0,33.650000000001455,8.509211818443873,0.0,-105.54987506206024
NIFTY,2026-08-18,PE,24150.0,16.349999999998545,14.023430621324223,0.0,-103.44271276557666
NIFTY,2026-08-25,CE,24300.0,39.95000000000073,5.850508748405446,34.54999999999927,436.1775150463168
NIFTY,2026-08-25,PE,24250.0,10.049999999999272,15.07314913951268,0.0,-103.21065441241673
SENSEX,2026-08-06,CE,78800.0,14.380000000004657,79.44316807681025,154.75999999999476,91.14115427823376
SENSEX,2026-08-06,PE,78700.0,85.61999999999534,50.244243027216726,0.0,-101.95143871960188
SENSEX,2026-08-13,CE,77900.0,38.520000000004075,64.19989101828105,179.9600000000064,174.47898639865636
SENSEX,2026-08-13,PE,77800.0,61.479999999995925,54.8741489271888,0.0,-101.78973643303834
SENSEX,2026-08-20,CE,77500.0,14.710000000006403,72.77586373279337,37.720000000001164,-50.22762439895485
SENSEX,2026-08-20,PE,77400.0,85.2899999999936,44.35953170642097,0.0,-102.20460829814617
