index,date,side,strike,p1510_real,settle,net_pct
NIFTY,2026-08-04,CE,14550.0,39.35,0.0,-101.2547051442911
NIFTY,2026-08-04,PE,14500.0,62.65,11.459999999999127,-82.64449722882165
NIFTY,2026-08-11,CE,14700.0,30.02,0.0,-101.63826998689385
NIFTY,2026-08-11,PE,14650.0,33.48,7.719999999999345,-78.75220718069646
NIFTY,2026-08-18,CE,14300.0,77.02,7.780000000000655,-90.60887512899812
NIFTY,2026-08-18,PE,14250.0,73.95,0.0,-100.67159167226328
NIFTY,2026-08-25,CE,14750.0,48.23,0.0,-101.02606197414323
NIFTY,2026-08-25,PE,14700.0,56.83,0.0,-100.87214372928659
SENSEX,2026-08-06,CE,72500.0,238.78,69.50999999999476,-71.42797564434282
SENSEX,2026-08-06,PE,72400.0,281.81,0.0,-100.35359428591634
SENSEX,2026-08-13,CE,71700.0,231.89,0.0,-100.42938726437373
SENSEX,2026-08-13,PE,71600.0,262.1,324.16999999999825,22.83162295704988
SENSEX,2026-08-20,CE,72000.0,270.09,0.0,-100.36888118337085
SENSEX,2026-08-20,PE,71900.0,280.19,24.570000000006985,-91.6177673459202
BANKNIFTY,2026-08-25,CE,48900.0,214.39,0.0,-100.46427410743304
BANKNIFTY,2026-08-25,PE,48800.0,188.83,19.68000000000029,-90.15961649897261
