index,date,monthly,first_cas,prem_pct,need_pct,d_ce,d_pe,auction_pts,pnl,win
NIFTY,2026-08-04,False,True,0.29670010592050644,0.3061061740613327,0.3742430929476446,0.4890145395075529,162.60000000000218,11011,True
SENSEX,2026-08-06,False,True,0.5126638569886763,0.5198724984237354,0.49756120883262894,0.4305231317382352,160.43999999998778,-9968,False
NIFTY,2026-08-11,False,False,0.12758335855012964,0.14639372551584795,0.29444332275136953,0.4588209127091434,17.100000000002183,-18252,False
SENSEX,2026-08-13,False,False,0.09359766289783503,0.13617592711793386,0.3726313924850824,0.34953697147141227,246.82000000000698,27849,True
NIFTY,2026-08-18,False,False,0.12749356333144607,0.13865183305575718,0.48598386239319624,0.13156241203688812,-42.39999999999782,-18047,False
SENSEX,2026-08-20,False,False,0.12932938839977343,0.15954496706683077,0.45700412125145046,0.29296908923079357,61.13000000000466,-11246,False
BANKNIFTY,2026-08-25,True,False,0.1384315616995565,0.1891027371141086,0.3615073927776262,0.39456188951809246,85.09999999999854,-15672,False
FINNIFTY,2026-08-25,True,False,0.14994680231281005,0.24182503404842717,0.39237779731044176,0.34473531355427656,71.0,3696,True
MIDCPNIFTY,2026-08-25,True,False,0.15168270917346288,0.21549635994907787,0.4255484076715431,0.32142948129081095,35.44999999999891,2688,True
NIFTY,2026-08-25,True,False,0.12969794194728365,0.13526526218984786,0.4926525783890706,0.17553153048736947,85.89999999999782,31063,True
BANKEX,2026-08-27,True,False,0.17398228803516055,0.2502520709417996,0.4062222975072289,0.39441655042709367,-837.1599999999962,101025,True
SENSEX,2026-08-27,True,False,0.1440911365753429,0.1545563624947049,0.3403351052186112,0.479776671314206,-274.49000000000524,24826,True
NIFTY,2026-09-01,False,False,0.1812244012712819,0.28215951084010016,0.39766999198357234,0.35798999550401567,80.0,5619,True
