,0.25,0.5,0.75
or30_rel,0.28481104925857104,0.3740650305155688,0.49347809168843293
abs_ret15,0.14386173431623628,0.22991749790208793,0.36538525291518464
abs_ret30,0.18457376209324583,0.31451012784791677,0.5070552295966035
bar_range_atr,1.1295478575253843,1.4120792194052687,1.741469035438382
bb_bw_pct,45.33333333333333,65.33333333333333,82.0
abs_ema_spread_atr,0.6968876096445547,0.9613022755911329,1.2555875426119365
dist_edge_atr,0.06172740843031839,0.1771297046084278,0.3614038513873037
pos_edge,0.9213535363607428,0.9630635234073086,0.986871471632605
rv20_rank,0.144,0.412,0.688
var_spent_ratio,0.41682389361449934,0.646212302410469,0.9629709513030464
range_sofar_rel,0.6904573911857221,0.9170231642869824,1.2145968021327944
