ts,offset,side,strike,spot,close,volume,oi,iv
2026-09-10 09:15:00,ATM-4,CE,74500.0,74864.77,431.75,913300,301920,24.055869
2026-09-10 09:15:00,ATM-3,CE,74600.0,74864.77,355.35,1101000,205140,23.774357
2026-09-10 09:15:00,ATM-2,CE,74700.0,74864.77,284.75,2822500,608860,23.375591
2026-09-10 09:15:00,ATM-1,CE,74800.0,74864.77,222.8,6416220,1800180,23.122757
2026-09-10 09:15:00,ATM,CE,74900.0,74864.77,169.9,7428580,2213840,22.960471
2026-09-10 09:15:00,ATM+1,CE,75000.0,74864.77,130.2,10099740,4034500,23.392161
2026-09-10 09:15:00,ATM+2,CE,75100.0,74864.77,96.5,6945400,2552180,23.5815
2026-09-10 09:15:00,ATM+3,CE,75200.0,74864.77,70.4,6499540,2528960,23.84057
2026-09-10 09:15:00,ATM-4,PE,74500.0,74864.77,64.7,9548100,3461580,24.572712
2026-09-10 09:15:00,ATM-3,PE,74600.0,74864.77,87.95,7541000,1893240,24.177767
2026-09-10 09:15:00,ATM-2,PE,74700.0,74864.77,117.6,7556740,2197500,23.7772
2026-09-10 09:15:00,ATM-1,PE,74800.0,74864.77,156.2,8474960,2774240,23.573475
2026-09-10 09:15:00,ATM,PE,74900.0,74864.77,205.0,6272160,1781460,23.61977
2026-09-10 09:15:00,ATM+1,PE,75000.0,74864.77,263.85,4669560,2340180,23.888276
2026-09-10 09:15:00,ATM+2,PE,75100.0,74864.77,332.4,1733320,654640,24.430373
2026-09-10 09:15:00,ATM+3,PE,75200.0,74864.77,403.55,805600,660900,24.365491
2026-09-10 09:20:00,ATM-4,CE,74400.0,74753.81,430.7,276380,88780,25.478155
2026-09-10 09:20:00,ATM-3,CE,74500.0,74753.81,354.0,598400,499800,24.906345
2026-09-10 09:20:00,ATM-2,CE,74600.0,74753.81,281.4,1166080,394660,24.053459
2026-09-10 09:20:00,ATM-1,CE,74700.0,74753.81,220.1,2596880,1134080,23.743377
2026-09-10 09:20:00,ATM,CE,74800.0,74753.81,168.7,4298480,2996020,23.647456
2026-09-10 09:20:00,ATM+1,CE,74900.0,74753.81,125.95,6238020,3475660,23.583699
2026-09-10 09:20:00,ATM+2,CE,75000.0,74753.81,94.9,6140900,5622780,24.031419
2026-09-10 09:20:00,ATM+3,CE,75100.0,74753.81,68.95,6764360,3206380,24.230556
2026-09-10 09:20:00,ATM-4,PE,74400.0,74753.81,57.05,5293580,1871640,23.067239
2026-09-10 09:20:00,ATM-3,PE,74500.0,74753.81,80.1,6861540,4283520,22.749572
2026-09-10 09:20:00,ATM-2,PE,74600.0,74753.81,110.3,8944640,2176680,22.458197
2026-09-10 09:20:00,ATM-1,PE,74700.0,74753.81,148.3,7117500,2564220,22.14004
2026-09-10 09:20:00,ATM,PE,74800.0,74753.81,197.15,8209840,3211860,22.084538
