ts,open,high,low,close,volume
2026-06-01 09:15:00,75203.02,75367.93,75003.07,75073.53,910432.0
2026-06-01 09:20:00,75070.92,75116.38,74943.18,74966.09,453479.0
2026-06-01 09:25:00,74967.16,75012.97,74931.05,74961.78,258324.0
2026-06-01 09:30:00,74960.47,75046.46,74959.69,75027.04,237168.0
2026-06-01 09:35:00,75029.16,75030.86,74886.7,75009.04,321800.0
2026-06-01 09:40:00,75005.87,75059.17,74875.91,74889.05,412235.0
2026-06-01 09:45:00,74892.9,74945.27,74856.92,74890.24,199182.0
2026-06-01 09:50:00,74894.19,74961.37,74894.12,74939.17,183382.0
2026-06-01 09:55:00,74941.18,74943.2,74854.45,74860.3,310724.0
2026-06-01 10:00:00,74862.55,74879.63,74798.99,74804.89,213169.0
2026-06-01 10:05:00,74804.48,74896.62,74802.06,74892.45,156145.0
2026-06-01 10:10:00,74895.04,74895.04,74835.46,74836.74,178865.0
2026-06-01 10:15:00,74829.24,74853.85,74784.72,74840.5,127367.0
2026-06-01 10:20:00,74840.38,74867.13,74810.37,74812.91,137657.0
2026-06-01 10:25:00,74812.71,74841.37,74772.83,74788.59,127288.0
2026-06-01 10:30:00,74786.94,74800.46,74718.85,74745.81,152009.0
2026-06-01 10:35:00,74745.15,74818.07,74715.52,74790.27,111300.0
2026-06-01 10:40:00,74786.73,74818.99,74765.87,74771.4,125356.0
2026-06-01 10:45:00,74771.48,74882.63,74766.45,74868.52,116301.0
2026-06-01 10:50:00,74864.7,74937.11,74849.85,74931.2,195025.0
2026-06-01 10:55:00,74928.37,74939.52,74856.55,74865.38,187228.0
2026-06-01 11:00:00,74869.62,74950.05,74869.62,74935.23,231602.0
2026-06-01 11:05:00,74936.27,75002.72,74925.5,74997.68,102015.0
2026-06-01 11:10:00,75000.34,75008.96,74968.05,74992.93,145820.0
2026-06-01 11:15:00,74995.27,75022.94,74963.83,75002.83,81939.0
2026-06-01 11:20:00,75001.47,75002.49,74910.33,74910.33,108698.0
2026-06-01 11:25:00,74913.42,74924.42,74858.19,74858.26,99149.0
2026-06-01 11:30:00,74858.24,74859.0,74773.37,74794.72,124549.0
2026-06-01 11:35:00,74796.31,74880.41,74787.03,74875.79,136353.0
2026-06-01 11:40:00,74871.28,74880.18,74818.74,74819.43,82210.0
2026-06-01 11:45:00,74817.3,74829.66,74774.58,74827.77,71853.0
2026-06-01 11:50:00,74827.61,74858.27,74823.85,74851.81,85203.0
2026-06-01 11:55:00,74851.7,74854.12,74635.33,74635.33,142934.0
2026-06-01 12:00:00,74641.11,74654.73,74606.77,74645.47,106772.0
2026-06-01 12:05:00,74644.96,74715.46,74644.96,74670.91,178899.0
2026-06-01 12:10:00,74671.48,74738.83,74652.94,74736.86,138301.0
2026-06-01 12:15:00,74737.56,74737.71,74688.51,74729.54,83601.0
2026-06-01 12:20:00,74728.48,74728.48,74671.33,74699.84,64411.0
2026-06-01 12:25:00,74699.84,74720.57,74685.14,74689.55,60363.0
2026-06-01 12:30:00,74692.64,74713.48,74679.99,74696.82,52352.0
2026-06-01 12:35:00,74698.0,74730.96,74689.11,74695.97,65114.0
2026-06-01 12:40:00,74694.31,74702.95,74668.56,74681.89,114990.0
2026-06-01 12:45:00,74682.83,74753.78,74682.7,74732.95,574499.0
2026-06-01 12:50:00,74739.92,74745.46,74707.11,74732.24,507821.0
2026-06-01 12:55:00,74733.78,74743.12,74653.12,74682.31,114146.0
2026-06-01 13:00:00,74685.09,74693.95,74606.6,74627.11,124784.0
2026-06-01 13:05:00,74628.74,74640.38,74567.87,74574.03,111907.0
2026-06-01 13:10:00,74574.62,74582.03,74494.56,74519.75,114095.0
2026-06-01 13:15:00,74521.29,74567.66,74517.53,74567.22,65235.0
2026-06-01 13:20:00,74562.69,74571.16,74542.47,74544.26,68543.0
2026-06-01 13:25:00,74544.63,74565.13,74525.32,74557.0,66851.0
2026-06-01 13:30:00,74562.31,74635.56,74559.57,74606.87,78646.0
