ts,offset,side,strike,spot,close,volume,oi
2026-08-27 09:15:00,ATM-3,CE,65200.0,65472.62,415.9,900,2250
2026-08-27 09:20:00,ATM-3,CE,65100.0,65420.88,423.3,420,2580
2026-08-27 09:25:00,ATM-3,CE,65100.0,65382.61,399.7,3120,2640
2026-08-27 09:30:00,ATM-3,CE,65100.0,65413.31,422.2,1290,2640
2026-08-27 09:35:00,ATM-3,CE,65100.0,65378.9,397.1,930,2700
2026-08-27 09:40:00,ATM-3,CE,65100.0,65404.24,395.65,30,2760
2026-08-27 09:45:00,ATM-3,CE,65100.0,65441.61,419.2,1470,3240
2026-08-27 09:50:00,ATM-3,CE,65100.0,65439.63,415.8,1380,3150
2026-08-27 09:55:00,ATM-3,CE,65100.0,65397.2,388.6,1080,3240
2026-08-27 10:00:00,ATM-3,CE,65100.0,65410.67,411.6,1650,2970
2026-08-27 10:05:00,ATM-3,CE,65100.0,65406.35,391.85,540,2820
2026-08-27 10:10:00,ATM-3,CE,65100.0,65385.84,377.85,1230,2550
2026-08-27 10:15:00,ATM-3,CE,65100.0,65391.43,383.1,360,2280
2026-08-27 10:20:00,ATM-3,CE,65100.0,65353.38,375.15,900,2280
2026-08-27 10:25:00,ATM-3,CE,65100.0,65361.81,367.4,360,2430
2026-08-27 10:30:00,ATM-3,CE,65000.0,65349.76,451.8,840,7350
2026-08-27 10:35:00,ATM-3,CE,65100.0,65365.22,370.05,180,2670
2026-08-27 10:40:00,ATM-3,CE,65000.0,65329.51,431.6,510,7290
2026-08-27 10:45:00,ATM-3,CE,65000.0,65331.16,420.5,930,7500
2026-08-27 10:50:00,ATM-3,CE,65000.0,65284.09,395.0,960,7500
2026-08-27 10:55:00,ATM-3,CE,65000.0,65300.16,410.15,3960,7200
2026-08-27 11:00:00,ATM-3,CE,65000.0,65310.44,415.7,990,5430
2026-08-27 11:05:00,ATM-3,CE,65000.0,65309.7,415.25,360,5370
2026-08-27 11:10:00,ATM-3,CE,65000.0,65291.25,396.45,630,5370
2026-08-27 11:15:00,ATM-3,CE,65000.0,65278.72,397.15,690,5550
2026-08-27 11:20:00,ATM-3,CE,65000.0,65281.9,405.85,660,5670
2026-08-27 11:25:00,ATM-3,CE,65000.0,65268.5,394.45,2130,6000
2026-08-27 11:30:00,ATM-3,CE,65000.0,65324.4,417.0,1920,6360
2026-08-27 11:35:00,ATM-3,CE,65000.0,65320.56,409.6,600,6510
2026-08-27 11:40:00,ATM-3,CE,65000.0,65286.42,404.7,1020,6150
2026-08-27 11:45:00,ATM-3,CE,65000.0,65281.4,398.9,180,6150
2026-08-27 11:50:00,ATM-3,CE,65000.0,65299.31,414.0,780,6120
2026-08-27 11:55:00,ATM-3,CE,65000.0,65319.86,427.15,480,5760
2026-08-27 12:00:00,ATM-3,CE,65000.0,65259.22,387.95,240,5730
2026-08-27 12:05:00,ATM-3,CE,64900.0,65240.12,450.0,30,870
2026-08-27 12:10:00,ATM-3,CE,64900.0,65248.37,450.0,0,870
2026-08-27 12:15:00,ATM-3,CE,64900.0,65185.32,399.55,120,990
2026-08-27 12:20:00,ATM-3,CE,64900.0,65150.31,399.55,0,990
2026-08-27 12:25:00,ATM-3,CE,64900.0,65177.33,381.6,1320,1590
2026-08-27 12:30:00,ATM-3,CE,64900.0,65150.81,378.6,420,1710
2026-08-27 12:35:00,ATM-3,CE,64900.0,65189.26,430.0,780,2310
2026-08-27 12:40:00,ATM-3,CE,64900.0,65175.01,400.5,210,1980
2026-08-27 12:45:00,ATM-3,CE,64900.0,65163.96,400.4,240,2250
2026-08-27 12:50:00,ATM-3,CE,64900.0,65191.78,418.0,90,2250
2026-08-27 12:55:00,ATM-3,CE,64900.0,65225.88,430.9,660,2250
2026-08-27 13:00:00,ATM-3,CE,64900.0,65233.13,421.95,420,1950
2026-08-27 13:05:00,ATM-3,CE,65000.0,65252.61,348.6,600,10350
2026-08-27 13:10:00,ATM-3,CE,65000.0,65348.08,397.4,7650,8280
2026-08-27 13:15:00,ATM-3,CE,65000.0,65309.74,370.9,3330,7830
2026-08-27 13:20:00,ATM-3,CE,65000.0,65329.81,379.0,2130,7800
2026-08-27 13:25:00,ATM-3,CE,65000.0,65284.34,343.9,3000,7830
2026-08-27 13:30:00,ATM-3,CE,65000.0,65268.93,333.8,2970,7620
2026-08-27 13:35:00,ATM-3,CE,65000.0,65281.59,341.0,1560,7770
2026-08-27 13:40:00,ATM-3,CE,64900.0,65240.66,402.0,1020,1920
2026-08-27 13:45:00,ATM-3,CE,64900.0,65200.35,345.85,870,1950
2026-08-27 13:50:00,ATM-3,CE,64900.0,65173.26,349.6,990,2520
2026-08-27 13:55:00,ATM-3,CE,64900.0,65160.3,349.6,0,2520
2026-08-27 14:10:00,ATM-3,CE,64900.0,65151.63,350.0,840,5160
2026-08-27 14:15:00,ATM-3,CE,64900.0,65163.81,359.35,3570,5190
2026-08-27 14:20:00,ATM-3,CE,64900.0,65200.47,367.8,600,3660
2026-08-27 14:25:00,ATM-3,CE,64900.0,65185.78,358.05,900,3480
2026-08-27 14:30:00,ATM-3,CE,64900.0,65159.15,335.1,2040,3840
2026-08-27 14:35:00,ATM-3,CE,64900.0,65166.0,314.15,450,3810
2026-08-27 14:45:00,ATM-3,CE,64900.0,65156.78,299.8,360,3720
2026-08-27 14:50:00,ATM-3,CE,64900.0,65156.18,288.9,930,3420
2026-08-27 14:55:00,ATM-3,CE,64900.0,65156.16,350.0,1200,3420
2026-08-27 15:00:00,ATM-3,CE,64900.0,65175.48,334.3,1320,2790
2026-08-27 15:05:00,ATM-3,CE,64900.0,65150.31,286.1,1560,3000
2026-08-27 15:35:00,ATM-3,CE,64000.0,64313.15,384.0,30,0
2026-08-28 11:25:00,ATM-3,CE,64600.0,64912.28,1238.75,150,90
2026-08-28 11:30:00,ATM-3,CE,64600.0,64896.33,1238.75,0,240
2026-08-28 11:35:00,ATM-3,CE,64600.0,64916.28,1238.75,0,240
2026-08-28 11:40:00,ATM-3,CE,64600.0,64917.36,1238.75,0,240
2026-08-28 11:45:00,ATM-3,CE,64600.0,64909.98,1238.75,0,240
2026-08-28 11:50:00,ATM-3,CE,64600.0,64893.08,1238.75,0,240
2026-08-28 11:55:00,ATM-3,CE,64600.0,64853.0,1238.75,0,240
2026-08-28 12:05:00,ATM-3,CE,64600.0,64852.93,1208.55,0,240
2026-08-27 09:15:00,ATM-3,PE,65200.0,65472.62,42.55,177060,58560
2026-08-27 09:20:00,ATM-3,PE,65100.0,65420.88,31.1,110010,42600
2026-08-27 09:25:00,ATM-3,PE,65100.0,65382.61,30.95,130080,45990
2026-08-27 09:30:00,ATM-3,PE,65100.0,65413.31,27.4,96690,45810
2026-08-27 09:35:00,ATM-3,PE,65100.0,65378.9,31.75,71460,52380
2026-08-27 09:40:00,ATM-3,PE,65100.0,65404.24,29.25,47820,56700
2026-08-27 09:45:00,ATM-3,PE,65100.0,65441.61,25.3,67230,58230
2026-08-27 09:50:00,ATM-3,PE,65100.0,65439.63,27.3,46050,61020
2026-08-27 09:55:00,ATM-3,PE,65100.0,65397.2,29.15,52080,65640
2026-08-27 10:00:00,ATM-3,PE,65100.0,65410.67,27.95,32610,69150
2026-08-27 10:05:00,ATM-3,PE,65100.0,65406.35,26.8,26100,69270
2026-08-27 10:10:00,ATM-3,PE,65100.0,65385.84,30.75,25170,70890
2026-08-27 10:15:00,ATM-3,PE,65100.0,65391.43,29.15,24840,78090
2026-08-27 10:20:00,ATM-3,PE,65100.0,65353.38,29.65,21060,82770
2026-08-27 10:25:00,ATM-3,PE,65100.0,65361.81,28.75,37140,79680
2026-08-27 10:30:00,ATM-3,PE,65000.0,65349.76,17.15,25080,118800
2026-08-27 10:35:00,ATM-3,PE,65100.0,65365.22,27.65,17280,83880
2026-08-27 10:40:00,ATM-3,PE,65000.0,65329.51,19.3,44910,117960
2026-08-27 10:45:00,ATM-3,PE,65000.0,65331.16,20.45,63240,126660
2026-08-27 10:50:00,ATM-3,PE,65000.0,65284.09,26.15,138540,119760
2026-08-27 10:55:00,ATM-3,PE,65000.0,65300.16,24.0,79020,125340
2026-08-27 11:00:00,ATM-3,PE,65000.0,65310.44,21.1,96150,122490
2026-08-27 11:05:00,ATM-3,PE,65000.0,65309.7,21.4,70980,126030
2026-08-27 11:10:00,ATM-3,PE,65000.0,65291.25,24.3,50220,128910
2026-08-27 11:15:00,ATM-3,PE,65000.0,65278.72,24.65,77310,142650
2026-08-27 11:20:00,ATM-3,PE,65000.0,65281.9,26.6,80430,132300
