ts,offset,side,strike,spot,close,volume,oi,iv
2026-09-03 09:15:00,ATM-3,CE,76500.0,76755.0,716.55,72600,175880,11.283713
2026-09-03 09:15:00,ATM-2,CE,76600.0,76755.0,644.25,23160,25460,11.015222
2026-09-03 09:15:00,ATM-1,CE,76700.0,76755.0,577.1,22760,23160,10.803002
2026-09-03 09:15:00,ATM,CE,76800.0,76755.0,524.8,39260,25020,10.864691
2026-09-03 09:15:00,ATM+1,CE,76900.0,76755.0,464.2,21280,20220,10.655193
2026-09-03 09:15:00,ATM+2,CE,77000.0,76755.0,415.0,135140,194160,10.630896
2026-09-03 09:15:00,ATM+3,CE,77100.0,76755.0,362.95,24780,21200,10.458967
2026-09-03 09:15:00,ATM-3,PE,76500.0,76755.0,270.15,116120,188740,10.313853
2026-09-03 09:15:00,ATM-2,PE,76600.0,76755.0,301.4,22280,30200,10.160012
2026-09-03 09:15:00,ATM-1,PE,76700.0,76755.0,337.75,19880,24540,10.051791
2026-09-03 09:15:00,ATM,PE,76800.0,76755.0,377.65,52860,35860,9.946297
2026-09-03 09:15:00,ATM+1,PE,76900.0,76755.0,419.9,19080,16820,9.812156
2026-09-03 09:15:00,ATM+2,PE,77000.0,76755.0,464.75,77660,146940,9.65194
2026-09-03 09:15:00,ATM+3,PE,77100.0,76755.0,525.15,4340,10860,9.766003
2026-09-03 09:20:00,ATM-3,CE,76400.0,76721.62,765.15,11600,23100,11.448132
2026-09-03 09:20:00,ATM-2,CE,76500.0,76721.62,696.65,10840,173280,11.313918
2026-09-03 09:20:00,ATM-1,CE,76600.0,76721.62,636.3,5800,24660,11.306061
2026-09-03 09:20:00,ATM,CE,76700.0,76721.62,571.8,18800,24040,11.126673
2026-09-03 09:20:00,ATM+1,CE,76800.0,76721.62,511.75,18700,35000,10.978982
2026-09-03 09:20:00,ATM+2,CE,76900.0,76721.62,454.65,31400,30140,10.823947
2026-09-03 09:20:00,ATM+3,CE,77000.0,76721.62,403.6,30640,202300,10.730499
2026-09-03 09:20:00,ATM-3,PE,76400.0,76721.62,250.8,28480,47260,10.417536
2026-09-03 09:20:00,ATM-2,PE,76500.0,76721.62,283.8,17380,189660,10.355572
2026-09-03 09:20:00,ATM-1,PE,76600.0,76721.62,315.0,12720,30660,10.173379
2026-09-03 09:20:00,ATM,PE,76700.0,76721.62,353.1,22760,28980,10.078783
2026-09-03 09:20:00,ATM+1,PE,76800.0,76721.62,393.1,23660,41060,9.947353
2026-09-03 09:20:00,ATM+2,PE,76900.0,76721.62,435.35,22740,22800,9.784485
2026-09-03 09:20:00,ATM+3,PE,77000.0,76721.62,483.8,22820,153480,9.678245
2026-09-03 09:25:00,ATM-3,CE,76500.0,76777.06,728.6,5840,169700,11.241789
2026-09-03 09:25:00,ATM-2,CE,76600.0,76777.06,659.35,8860,24420,11.063079
2026-09-03 09:25:00,ATM-1,CE,76700.0,76777.06,593.0,6020,28000,10.885023
2026-09-03 09:25:00,ATM,CE,76800.0,76777.06,534.2,12040,42900,10.811474
2026-09-03 09:25:00,ATM+1,CE,76900.0,76777.06,474.0,21160,37580,10.628637
2026-09-03 09:25:00,ATM+2,CE,77000.0,76777.06,421.0,19680,219160,10.533743
2026-09-03 09:25:00,ATM+3,CE,77100.0,76777.06,372.95,24580,26020,10.472538
2026-09-03 09:25:00,ATM-3,PE,76500.0,76777.06,266.9,8360,187540,10.429773
2026-09-03 09:25:00,ATM-2,PE,76600.0,76777.06,296.9,15320,32560,10.259432
2026-09-03 09:25:00,ATM-1,PE,76700.0,76777.06,335.65,13380,35260,10.223718
2026-09-03 09:25:00,ATM,PE,76800.0,76777.06,372.2,13880,47780,10.055707
2026-09-03 09:25:00,ATM+1,PE,76900.0,76777.06,411.1,12340,28060,9.861812
