ts,open,high,low,close,volume
2026-08-25 09:15:00,24175.75,24193.55,24135.3,24144.35,2104485.0
2026-08-25 09:16:00,24147.45,24147.45,24128.85,24138.9,1581955.0
2026-08-25 09:17:00,24140.4,24155.6,24138.95,24153.35,1485206.0
2026-08-25 09:18:00,24155.55,24172.5,24153.95,24172.35,1274826.0
2026-08-25 09:19:00,24174.4,24185.7,24167.1,24184.05,1338668.0
2026-08-25 09:20:00,24185.5,24190.3,24180.15,24188.0,1672701.0
2026-08-25 09:21:00,24190.4,24198.25,24187.8,24193.0,718057.0
2026-08-25 09:22:00,24194.35,24194.35,24180.25,24181.65,852862.0
2026-08-25 09:23:00,24182.85,24186.65,24173.7,24183.7,693874.0
2026-08-25 09:24:00,24186.7,24187.1,24175.05,24175.05,827287.0
2026-08-25 09:25:00,24176.05,24178.1,24170.8,24175.6,818404.0
2026-08-25 09:26:00,24176.85,24183.25,24172.75,24178.05,1159804.0
2026-08-25 09:27:00,24180.55,24189.3,24178.6,24188.3,756309.0
2026-08-25 09:28:00,24189.85,24189.85,24182.05,24182.85,925273.0
2026-08-25 09:29:00,24184.7,24185.4,24178.3,24181.5,808449.0
2026-08-25 09:30:00,24182.2,24187.35,24179.2,24183.2,720344.0
2026-08-25 09:31:00,24185.95,24191.95,24183.95,24191.45,645174.0
2026-08-25 09:32:00,24192.15,24194.35,24188.5,24190.35,669497.0
2026-08-25 09:33:00,24191.25,24192.85,24188.55,24190.65,466002.0
2026-08-25 09:34:00,24192.2,24197.75,24190.05,24190.9,589105.0
2026-08-25 09:35:00,24192.8,24195.2,24187.65,24188.0,458709.0
2026-08-25 09:36:00,24190.65,24190.65,24184.05,24184.5,841802.0
2026-08-25 09:37:00,24186.9,24186.9,24176.3,24177.65,581329.0
2026-08-25 09:38:00,24180.2,24182.3,24173.7,24174.85,592399.0
2026-08-25 09:39:00,24175.75,24176.6,24169.15,24172.8,531561.0
2026-08-25 09:40:00,24175.45,24175.45,24168.3,24169.25,587730.0
2026-08-25 09:41:00,24170.9,24170.9,24162.6,24162.75,479089.0
2026-08-25 09:42:00,24164.75,24165.0,24160.95,24162.9,387048.0
2026-08-25 09:43:00,24164.6,24166.35,24158.15,24158.6,489416.0
2026-08-25 09:44:00,24160.75,24160.75,24153.0,24154.85,434562.0
2026-08-25 09:45:00,24156.9,24156.9,24149.45,24153.2,551247.0
2026-08-25 09:46:00,24154.9,24160.2,24151.6,24159.85,571905.0
2026-08-25 09:47:00,24161.25,24166.1,24159.0,24163.5,412004.0
2026-08-25 09:48:00,24165.65,24165.65,24153.9,24154.2,531942.0
2026-08-25 09:49:00,24156.55,24156.55,24151.35,24154.15,401689.0
2026-08-25 09:50:00,24156.1,24159.3,24152.85,24153.3,690439.0
2026-08-25 09:51:00,24155.25,24156.3,24150.05,24150.1,521779.0
2026-08-25 09:52:00,24152.6,24152.6,24137.15,24137.25,874057.0
2026-08-25 09:53:00,24139.6,24140.85,24133.8,24135.2,991398.0
2026-08-25 09:54:00,24137.6,24140.75,24133.85,24138.1,444727.0
2026-08-25 09:55:00,24141.0,24141.0,24136.0,24137.55,329187.0
2026-08-25 09:56:00,24140.55,24143.75,24137.85,24143.15,594529.0
2026-08-25 09:57:00,24144.05,24150.1,24143.6,24146.85,403112.0
2026-08-25 09:58:00,24148.45,24148.85,24140.65,24142.1,600762.0
2026-08-25 09:59:00,24144.45,24145.8,24138.1,24138.85,622471.0
2026-08-25 10:00:00,24141.95,24142.7,24137.5,24140.25,671442.0
2026-08-25 10:01:00,24142.75,24143.4,24134.65,24134.65,488515.0
2026-08-25 10:02:00,24137.5,24137.5,24130.35,24134.05,514681.0
2026-08-25 10:03:00,24136.15,24139.65,24134.4,24138.5,424002.0
2026-08-25 10:04:00,24140.75,24144.9,24137.55,24143.9,503159.0
2026-08-25 10:05:00,24145.15,24149.5,24143.0,24146.9,396389.0
2026-08-25 10:06:00,24148.6,24149.35,24144.4,24144.4,358421.0
2026-08-25 10:07:00,24147.35,24147.35,24138.95,24138.95,367687.0
2026-08-25 10:08:00,24141.4,24142.0,24136.85,24137.8,362825.0
2026-08-25 10:09:00,24139.55,24139.55,24134.6,24135.05,444149.0
2026-08-25 10:10:00,24136.05,24142.9,24135.35,24141.35,492810.0
2026-08-25 10:11:00,24143.75,24145.55,24140.9,24142.15,645802.0
2026-08-25 10:12:00,24144.6,24144.6,24138.75,24139.4,272458.0
2026-08-25 10:13:00,24140.95,24142.0,24137.25,24138.55,419806.0
2026-08-25 10:14:00,24140.1,24141.65,24137.4,24141.2,246143.0
2026-08-25 10:15:00,24141.95,24141.95,24137.8,24138.8,267878.0
2026-08-25 10:16:00,24141.45,24142.7,24136.8,24138.55,303313.0
2026-08-25 10:17:00,24139.7,24139.7,24133.85,24137.1,399715.0
2026-08-25 10:18:00,24137.7,24138.75,24132.05,24138.15,564882.0
2026-08-25 10:19:00,24138.7,24138.7,24129.7,24134.1,362509.0
2026-08-25 10:20:00,24136.65,24136.65,24128.1,24131.05,407583.0
2026-08-25 10:21:00,24132.45,24134.3,24128.55,24130.5,377570.0
2026-08-25 10:22:00,24132.05,24132.05,24125.3,24126.3,449819.0
2026-08-25 10:23:00,24127.8,24128.6,24119.75,24119.85,578379.0
2026-08-25 10:24:00,24122.5,24124.85,24119.3,24120.5,295211.0
2026-08-25 10:25:00,24122.3,24122.9,24118.05,24120.65,348007.0
2026-08-25 10:26:00,24121.85,24121.85,24115.45,24119.1,377344.0
2026-08-25 10:27:00,24120.9,24126.45,24119.15,24121.35,566995.0
2026-08-25 10:28:00,24124.65,24127.95,24119.25,24127.3,463731.0
2026-08-25 10:29:00,24129.05,24129.05,24124.2,24126.35,270391.0
2026-08-25 10:30:00,24128.3,24130.55,24123.55,24125.9,397881.0
2026-08-25 10:31:00,24128.15,24130.7,24125.15,24129.1,355408.0
2026-08-25 10:32:00,24130.35,24131.1,24126.8,24128.3,434803.0
2026-08-25 10:33:00,24130.2,24135.15,24128.3,24134.3,240126.0
2026-08-25 10:34:00,24136.2,24137.15,24128.65,24129.75,346671.0
2026-08-25 10:35:00,24132.35,24132.55,24128.2,24131.7,383767.0
2026-08-25 10:36:00,24134.2,24134.2,24130.55,24131.85,366405.0
2026-08-25 10:37:00,24132.95,24132.95,24129.15,24130.6,252972.0
2026-08-25 10:38:00,24132.85,24132.85,24126.75,24127.95,409850.0
2026-08-25 10:39:00,24129.7,24133.45,24127.85,24131.65,274247.0
2026-08-25 10:40:00,24133.2,24133.2,24127.2,24127.85,238523.0
2026-08-25 10:41:00,24129.7,24130.55,24125.85,24128.55,360772.0
2026-08-25 10:42:00,24130.55,24133.7,24127.75,24130.2,327117.0
2026-08-25 10:43:00,24133.95,24138.2,24129.7,24136.35,398027.0
2026-08-25 10:44:00,24139.15,24140.45,24134.1,24135.95,419078.0
2026-08-25 10:45:00,24140.05,24141.05,24135.7,24138.1,548249.0
