ts,side,strike,spot,close,oi
2026-09-01 09:15:00,CE,23900.0,24042.55,149.65,1170910
2026-09-01 09:20:00,CE,23900.0,24039.4,142.2,1510990
2026-09-01 09:25:00,CE,23900.0,24064.75,175.0,1849705
2026-09-01 09:30:00,CE,23900.0,24066.35,175.0,1731925
2026-09-01 09:35:00,CE,23900.0,24041.25,153.3,1991795
2026-09-01 09:40:00,CE,23900.0,24030.15,143.7,2425280
2026-09-01 09:45:00,CE,23850.0,24021.35,186.25,474370
2026-09-01 09:50:00,CE,23850.0,24023.0,182.65,541255
2026-09-01 09:55:00,CE,23850.0,24019.0,179.95,606840
2026-09-01 10:00:00,CE,23900.0,24033.95,144.55,3800680
2026-09-01 10:05:00,CE,23900.0,24034.0,143.85,3761225
2026-09-01 10:10:00,CE,23900.0,24036.25,146.1,3692130
2026-09-01 10:15:00,CE,23900.0,24050.2,160.15,2997995
2026-09-01 10:20:00,CE,23900.0,24062.5,167.95,2828540
2026-09-01 10:25:00,CE,23900.0,24062.8,168.85,2757885
2026-09-01 10:30:00,CE,23900.0,24067.3,170.2,2568605
2026-09-01 10:35:00,CE,23900.0,24069.1,172.3,2504385
2026-09-01 10:40:00,CE,23900.0,24066.0,170.3,2469870
2026-09-01 10:45:00,CE,23900.0,24069.6,174.2,2452710
2026-09-01 10:50:00,CE,23950.0,24088.65,146.2,2397395
2026-09-01 10:55:00,CE,23950.0,24083.65,141.9,2275650
2026-09-01 11:00:00,CE,23950.0,24077.4,139.2,2242175
2026-09-01 11:05:00,CE,23950.0,24094.75,157.0,1999920
2026-09-01 11:10:00,CE,23950.0,24108.75,174.25,1695265
2026-09-01 11:15:00,CE,23950.0,24123.95,187.65,1481415
2026-09-01 11:20:00,CE,23950.0,24121.7,185.85,1384435
2026-09-01 11:25:00,CE,24000.0,24127.9,147.8,6026345
2026-09-01 11:30:00,CE,24000.0,24126.65,146.6,5572320
2026-09-01 11:35:00,CE,23950.0,24113.4,180.25,1182805
2026-09-01 11:40:00,CE,23950.0,24119.0,183.85,1202955
2026-09-01 11:45:00,CE,23950.0,24111.55,173.2,1181830
2026-09-01 11:50:00,CE,23950.0,24119.65,175.85,1169545
2026-09-01 11:55:00,CE,23950.0,24118.65,179.15,1150370
2026-09-01 12:00:00,CE,23950.0,24124.2,183.2,1116505
2026-09-01 12:05:00,CE,24000.0,24129.1,142.1,5782530
2026-09-01 12:10:00,CE,23950.0,24118.5,180.15,1080950
2026-09-01 12:15:00,CE,23950.0,24111.65,170.25,1080235
2026-09-01 12:20:00,CE,23950.0,24098.75,157.05,1087255
2026-09-01 12:25:00,CE,23950.0,24110.9,166.0,1092910
2026-09-01 12:30:00,CE,23950.0,24108.4,166.0,1094535
2026-09-01 12:35:00,CE,23950.0,24111.8,168.95,1141920
