symbol,blasted,auction_pct,dist_to_strike_pct,margin_pct,strike_step_pct,lasthr_pct,day_to_1510_pct,typical_abs_eod_move,liq_rank,pcr_oi,atm_oi_share,oi_hhi,mp_dist_pct,call_oi_chg_day,put_oi_chg_day,doi_near_strike,late_vol_share,nifty50
BHARTIARTL,False,0.16,0.83,-0.67,1.03,0.48,0.25,0.055,5.0,0.43,31.1,0.239,0.195,-1027900.0,-562400.0,-490200.0,0.08,True
MANAPPURAM,False,0.52,1.22,-0.7,1.37,0.11,0.16,0.093,62.0,0.73,28.4,0.135,0.15,-4575000.0,-2169000.0,-1992000.0,0.09,False
LT,False,0.07,0.82,-0.75,1.21,0.55,0.59,0.064,20.0,0.4,46.0,0.22,1.608,-451150.0,-179550.0,-57575.0,0.26,True
JIOFIN,False,0.1,0.86,-0.76,1.03,0.96,0.35,0.053,35.0,0.83,15.5,0.246,-0.865,-10231900.0,-8673850.0,-3055000.0,0.12,True
HINDALCO,False,0.43,1.28,-0.85,1.91,-0.08,-0.42,0.081,22.0,0.63,18.3,0.136,2.542,-2873500.0,-879200.0,-994000.0,0.06,True
SWIGGY,False,0.26,1.17,-0.91,1.74,-0.28,-0.57,0.077,30.0,0.72,16.6,0.168,0.576,-8449750.0,-2558650.0,-1438100.0,0.06,False
GRASIM,False,-0.32,0.61,-0.93,0.61,2.1,0.54,0.102,37.0,0.51,22.1,0.117,3.03,-188000.0,-154000.0,-41000.0,0.04,True
HINDZINC,False,0.15,1.4,-1.25,1.69,-0.6,-0.45,0.057,36.0,0.67,28.9,0.131,0.287,-3880800.0,-2761150.0,-853825.0,0.02,False
MUTHOOTFIN,False,-0.48,1.05,-1.53,1.55,0.08,1.09,0.091,24.0,1.01,14.6,0.216,3.616,-1198175.0,-897050.0,-347600.0,0.03,False
CGPOWER,False,-0.33,2.11,-2.44,2.27,0.83,1.55,0.058,100.0,0.83,36.8,0.148,2.428,-1029350.0,-333200.0,-511700.0,0.07,False
IDEA,False,0.0,5.33,-5.33,6.58,-0.2,7.05,0.152,16.0,1.32,18.6,0.195,7.834,-316133925.0,-1358025.0,-1000650.0,0.04,False
