symbol,date,p1510,cas_close,approx_close,auction_move_pct,abs_move_pct,max_pain,mp_dist_pct,atm_oi_share,oi_hhi,pcr_oi,blast_score,best_option
IDEA,2026-08-21,13.98,13.94,True,-0.286,0.286,14.0,-0.143,48.1,0.214,0.66,0.1421,"{'side': 'CE', 'strike': 14.0, 'entry': 0.09, 'settle': 0.0, 'ret_pct': -100.0}"
IDEA,2026-08-24,14.05,14.07,True,0.142,0.142,14.0,0.356,49.6,0.202,0.79,0.1634,"{'side': 'CE', 'strike': 15.0, 'entry': 0.02, 'settle': 0.0, 'ret_pct': -100.0}"
IDEA,2026-08-25,15.19,15.19,False,0.0,0.0,14.0,7.834,18.6,0.195,1.32,0.1391,"{'side': 'CE', 'strike': 16.0, 'entry': 0.01, 'settle': 0.0, 'ret_pct': -100.0}"
TECHM,2026-08-20,1593.0,1592.1,True,-0.056,0.056,1600.0,-0.439,52.2,0.218,0.35,0.1956,
TECHM,2026-08-21,1577.0,1584.0,True,0.444,0.444,1600.0,-1.458,9.0,0.247,0.35,0.1153,
TECHM,2026-08-24,1580.0,1584.0,True,0.253,0.253,1600.0,-1.266,11.2,0.172,0.51,0.0829,
TECHM,2026-08-25,1592.0,1599.9,False,0.496,0.496,1600.0,-0.503,48.3,0.15,0.51,0.1312,"{'side': 'CE', 'strike': 1600.0, 'entry': 0.25, 'settle': 0.0, 'ret_pct': -100.0}"
BOSCHLTD,2026-08-20,48610.0,48750.0,True,0.288,0.288,48000.0,1.255,22.9,0.158,0.37,0.1172,"{'side': 'CE', 'strike': 49000.0, 'entry': 203.6, 'settle': 0.0, 'ret_pct': -100.0}"
BOSCHLTD,2026-08-21,48300.0,48200.0,True,-0.207,0.207,48000.0,0.621,17.1,0.17,0.33,0.0747,"{'side': 'CE', 'strike': 48500.0, 'entry': 231.05, 'settle': 0.0, 'ret_pct': -100.0}"
BOSCHLTD,2026-08-24,48275.0,48100.0,True,-0.363,0.363,48000.0,0.57,15.2,0.187,0.25,0.0743,"{'side': 'CE', 'strike': 48500.0, 'entry': 86.3, 'settle': 0.0, 'ret_pct': -100.0}"
BOSCHLTD,2026-08-25,48250.0,48680.0,False,0.891,0.891,48000.0,0.518,11.7,0.306,0.24,0.1008,"{'side': 'CE', 'strike': 48500.0, 'entry': 139.95, 'settle': 180.0, 'ret_pct': 29.0}"
DIVISLAB,2026-08-20,8550.0,8570.0,True,0.234,0.234,8500.0,0.585,38.8,0.147,0.63,0.1133,"{'side': 'CE', 'strike': 8600.0, 'entry': 68.4, 'settle': 0.0, 'ret_pct': -100.0}"
DIVISLAB,2026-08-21,8528.5,8528.5,True,0.0,0.0,8500.0,0.334,34.8,0.143,0.64,0.0851,"{'side': 'CE', 'strike': 8600.0, 'entry': 31.35, 'settle': 0.0, 'ret_pct': -100.0}"
DIVISLAB,2026-08-24,8500.0,8496.0,True,-0.047,0.047,8500.0,0.0,47.7,0.147,0.63,0.0846,"{'side': 'CE', 'strike': 8600.0, 'entry': 10.75, 'settle': 0.0, 'ret_pct': -100.0}"
DIVISLAB,2026-08-25,8675.0,8744.5,False,0.801,0.801,8500.0,2.017,20.9,0.12,0.74,0.0923,"{'side': 'CE', 'strike': 8700.0, 'entry': 0.05, 'settle': 44.5, 'ret_pct': 88900.0}"
BAJFINANCE,2026-08-20,1097.0,1095.0,True,-0.182,0.182,1100.0,-0.273,41.2,0.164,0.78,0.1072,"{'side': 'CE', 'strike': 1100.0, 'entry': 9.5, 'settle': 0.0, 'ret_pct': -100.0}"
BAJFINANCE,2026-08-21,1093.1,1095.0,True,0.174,0.174,1100.0,-0.631,42.6,0.166,0.78,0.1422,"{'side': 'CE', 'strike': 1100.0, 'entry': 4.85, 'settle': 0.0, 'ret_pct': -100.0}"
BAJFINANCE,2026-08-24,1078.9,1077.0,True,-0.176,0.176,1090.0,-1.029,19.8,0.148,0.77,0.0894,"{'side': 'CE', 'strike': 1080.0, 'entry': 6.5, 'settle': 0.0, 'ret_pct': -100.0}"
BAJFINANCE,2026-08-25,1082.0,1087.4,False,0.499,0.499,1090.0,-0.739,24.5,0.162,0.94,0.0972,"{'side': 'CE', 'strike': 1090.0, 'entry': 4.5, 'settle': 0.0, 'ret_pct': -100.0}"
TATASTEEL,2026-08-20,183.14,183.5,True,0.197,0.197,185.0,-1.016,28.8,0.205,0.6,0.1602,"{'side': 'CE', 'strike': 185.0, 'entry': 1.24, 'settle': 0.0, 'ret_pct': -100.0}"
TATASTEEL,2026-08-21,182.5,183.0,True,0.274,0.274,185.0,-1.37,39.6,0.194,0.61,0.2276,"{'side': 'CE', 'strike': 185.0, 'entry': 0.66, 'settle': 0.0, 'ret_pct': -100.0}"
TATASTEEL,2026-08-24,185.31,186.3,True,0.534,0.534,185.0,0.167,28.4,0.206,0.62,0.0922,"{'side': 'CE', 'strike': 187.5, 'entry': 0.44, 'settle': 0.0, 'ret_pct': -100.0}"
TATASTEEL,2026-08-25,184.45,186.94,False,1.35,1.35,185.0,-0.298,15.5,0.162,0.51,0.0536,"{'side': 'CE', 'strike': 185.0, 'entry': 0.01, 'settle': 1.94, 'ret_pct': 19300.0}"
CUMMINSIND,2026-08-20,5214.0,5205.0,True,-0.173,0.173,5400.0,-3.567,24.3,0.199,1.02,0.1706,"{'side': 'CE', 'strike': 5300.0, 'entry': 20.0, 'settle': 0.0, 'ret_pct': -100.0}"
CUMMINSIND,2026-08-21,5112.0,5107.5,True,-0.088,0.088,5200.0,-1.721,27.5,0.161,0.72,0.1511,"{'side': 'CE', 'strike': 5200.0, 'entry': 10.55, 'settle': 0.0, 'ret_pct': -100.0}"
CUMMINSIND,2026-08-24,5150.0,5190.0,True,0.777,0.777,5300.0,-2.913,22.8,0.168,0.88,0.1376,"{'side': 'CE', 'strike': 5200.0, 'entry': 14.8, 'settle': 0.0, 'ret_pct': -100.0}"
CUMMINSIND,2026-08-25,5194.5,5239.5,False,0.866,0.866,5300.0,-2.031,30.1,0.195,0.92,0.1959,"{'side': 'CE', 'strike': 5200.0, 'entry': 30.55, 'settle': 39.5, 'ret_pct': 29.0}"
ADANIENT,2026-08-20,2990.0,2994.9,True,0.164,0.164,3000.0,-0.334,37.1,0.248,0.49,0.1559,"{'side': 'CE', 'strike': 3000.0, 'entry': 27.25, 'settle': 0.0, 'ret_pct': -100.0}"
ADANIENT,2026-08-21,2997.0,2997.0,True,0.0,0.0,3000.0,-0.1,42.0,0.272,0.55,0.1556,"{'side': 'CE', 'strike': 3000.0, 'entry': 21.0, 'settle': 0.0, 'ret_pct': -100.0}"
ADANIENT,2026-08-24,2980.8,2998.6,True,0.597,0.597,3000.0,-0.644,36.6,0.235,0.59,0.1796,"{'side': 'CE', 'strike': 3000.0, 'entry': 9.15, 'settle': 0.0, 'ret_pct': -100.0}"
ADANIENT,2026-08-25,3094.2,3110.0,False,0.511,0.511,3050.0,1.428,40.6,0.158,0.77,0.1943,"{'side': 'CE', 'strike': 3100.0, 'entry': 3.35, 'settle': 10.0, 'ret_pct': 199.0}"
RELIANCE,2026-08-20,1310.8,1313.2,True,0.183,0.183,1300.0,0.824,29.1,0.141,0.37,0.1001,"{'side': 'CE', 'strike': 1320.0, 'entry': 4.3, 'settle': 0.0, 'ret_pct': -100.0}"
RELIANCE,2026-08-21,1314.0,1316.0,True,0.152,0.152,1300.0,1.065,32.6,0.166,0.39,0.1463,"{'side': 'CE', 'strike': 1320.0, 'entry': 2.7, 'settle': 0.0, 'ret_pct': -100.0}"
RELIANCE,2026-08-24,1304.0,1309.8,True,0.445,0.445,1300.0,0.307,23.6,0.137,0.32,0.06,"{'side': 'CE', 'strike': 1310.0, 'entry': 2.6, 'settle': 0.0, 'ret_pct': -100.0}"
RELIANCE,2026-08-25,1312.7,1317.0,False,0.328,0.328,1300.0,0.967,25.8,0.157,0.31,0.1106,"{'side': 'CE', 'strike': 1320.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
HINDZINC,2026-08-20,573.0,573.9,True,0.157,0.157,570.0,0.524,27.4,0.19,0.47,0.1081,"{'side': 'CE', 'strike': 580.0, 'entry': 4.5, 'settle': 0.0, 'ret_pct': -100.0}"
HINDZINC,2026-08-21,595.65,594.9,True,-0.126,0.126,590.0,0.949,40.3,0.155,0.45,0.1517,"{'side': 'CE', 'strike': 600.0, 'entry': 6.3, 'settle': 0.0, 'ret_pct': -100.0}"
HINDZINC,2026-08-24,608.0,604.0,True,-0.658,0.658,590.0,2.961,29.9,0.125,0.67,0.1247,"{'side': 'CE', 'strike': 610.0, 'entry': 3.65, 'settle': 0.0, 'ret_pct': -100.0}"
HINDZINC,2026-08-25,591.7,592.6,False,0.152,0.152,590.0,0.287,28.9,0.131,0.67,0.0658,"{'side': 'CE', 'strike': 600.0, 'entry': 0.25, 'settle': 0.0, 'ret_pct': -100.0}"
ETERNAL,2026-08-20,327.45,327.95,True,0.153,0.153,320.0,2.275,41.0,0.171,0.56,0.218,"{'side': 'CE', 'strike': 330.0, 'entry': 2.2, 'settle': 0.0, 'ret_pct': -100.0}"
ETERNAL,2026-08-21,327.45,328.0,True,0.168,0.168,320.0,2.275,44.8,0.17,0.52,0.2331,"{'side': 'CE', 'strike': 330.0, 'entry': 1.2, 'settle': 0.0, 'ret_pct': -100.0}"
ETERNAL,2026-08-24,327.5,327.15,True,-0.107,0.107,320.0,2.29,45.4,0.171,0.55,0.2369,"{'side': 'CE', 'strike': 330.0, 'entry': 1.15, 'settle': 0.0, 'ret_pct': -100.0}"
ETERNAL,2026-08-25,329.6,331.0,False,0.425,0.425,320.0,2.913,48.8,0.183,0.6,0.2687,"{'side': 'CE', 'strike': 330.0, 'entry': 0.05, 'settle': 1.0, 'ret_pct': 1900.0}"
AXISBANK,2026-08-20,1247.1,1251.0,True,0.313,0.313,1240.0,0.569,49.6,0.171,0.57,0.16,"{'side': 'CE', 'strike': 1260.0, 'entry': 5.0, 'settle': 0.0, 'ret_pct': -100.0}"
AXISBANK,2026-08-21,1245.5,1245.8,True,0.024,0.024,1240.0,0.442,51.6,0.18,0.54,0.1599,"{'side': 'CE', 'strike': 1260.0, 'entry': 2.45, 'settle': 0.0, 'ret_pct': -100.0}"
AXISBANK,2026-08-24,1236.0,1236.0,True,0.0,0.0,1240.0,-0.324,34.8,0.184,0.58,0.1094,"{'side': 'CE', 'strike': 1240.0, 'entry': 2.6, 'settle': 0.0, 'ret_pct': -100.0}"
AXISBANK,2026-08-25,1234.8,1235.0,False,0.016,0.016,1240.0,-0.421,36.3,0.167,0.61,0.1097,"{'side': 'CE', 'strike': 1240.0, 'entry': 3.0, 'settle': 0.0, 'ret_pct': -100.0}"
SBIN,2026-08-20,1047.5,1048.0,True,0.048,0.048,1050.0,-0.239,29.5,0.166,0.64,0.081,"{'side': 'CE', 'strike': 1050.0, 'entry': 8.1, 'settle': 0.0, 'ret_pct': -100.0}"
SBIN,2026-08-21,1041.0,1048.7,True,0.74,0.74,1050.0,-0.865,29.6,0.155,0.61,0.1149,"{'side': 'CE', 'strike': 1050.0, 'entry': 3.45, 'settle': 0.0, 'ret_pct': -100.0}"
SBIN,2026-08-24,1036.1,1039.5,True,0.328,0.328,1040.0,-0.376,23.3,0.145,0.77,0.0665,"{'side': 'CE', 'strike': 1040.0, 'entry': 2.35, 'settle': 0.0, 'ret_pct': -100.0}"
SBIN,2026-08-25,1044.0,1048.0,False,0.383,0.383,1040.0,0.383,27.2,0.14,1.0,0.0717,"{'side': 'CE', 'strike': 1050.0, 'entry': 0.7, 'settle': 0.0, 'ret_pct': -100.0}"
BHARTIARTL,2026-08-20,1948.8,1941.7,True,-0.364,0.364,1940.0,0.452,27.4,0.172,0.44,0.0934,"{'side': 'CE', 'strike': 1960.0, 'entry': 7.8, 'settle': 0.0, 'ret_pct': -100.0}"
BHARTIARTL,2026-08-21,1946.8,1946.0,True,-0.041,0.041,1940.0,0.349,30.0,0.162,0.45,0.0874,"{'side': 'CE', 'strike': 1960.0, 'entry': 5.3, 'settle': 0.0, 'ret_pct': -100.0}"
BHARTIARTL,2026-08-24,1937.2,1935.0,True,-0.114,0.114,1940.0,-0.145,31.6,0.196,0.51,0.0933,"{'side': 'CE', 'strike': 1940.0, 'entry': 6.05, 'settle': 0.0, 'ret_pct': -100.0}"
BHARTIARTL,2026-08-25,1943.8,1947.0,False,0.165,0.165,1940.0,0.195,31.1,0.239,0.43,0.1176,"{'side': 'CE', 'strike': 1960.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
SHRIRAMFIN,2026-08-20,1121.7,1128.2,True,0.579,0.579,1100.0,1.935,37.3,0.146,0.4,0.1732,"{'side': 'CE', 'strike': 1140.0, 'entry': 5.8, 'settle': 0.0, 'ret_pct': -100.0}"
SHRIRAMFIN,2026-08-21,1131.1,1130.0,True,-0.097,0.097,1100.0,2.75,33.3,0.146,0.45,0.1585,"{'side': 'CE', 'strike': 1140.0, 'entry': 6.3, 'settle': 0.0, 'ret_pct': -100.0}"
SHRIRAMFIN,2026-08-24,1115.1,1119.0,True,0.35,0.35,1100.0,1.354,17.9,0.15,0.32,0.0981,"{'side': 'CE', 'strike': 1120.0, 'entry': 7.85, 'settle': 0.0, 'ret_pct': -100.0}"
SHRIRAMFIN,2026-08-25,1133.1,1138.5,False,0.477,0.477,1080.0,4.686,18.8,0.169,0.34,0.1216,"{'side': 'CE', 'strike': 1140.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
JIOFIN,2026-08-20,244.85,244.6,True,-0.102,0.102,247.5,-1.082,21.8,0.214,0.69,0.1417,"{'side': 'CE', 'strike': 245.0, 'entry': 2.55, 'settle': 0.0, 'ret_pct': -100.0}"
JIOFIN,2026-08-21,243.7,244.0,True,0.123,0.123,245.0,-0.533,24.7,0.212,0.83,0.1129,"{'side': 'CE', 'strike': 245.0, 'entry': 1.65, 'settle': 0.0, 'ret_pct': -100.0}"
JIOFIN,2026-08-24,242.6,242.0,True,-0.247,0.247,245.0,-0.989,24.6,0.21,0.8,0.145,"{'side': 'PE', 'strike': 242.5, 'entry': 1.35, 'settle': 0.5, 'ret_pct': -63.0}"
JIOFIN,2026-08-25,242.9,243.15,False,0.103,0.103,245.0,-0.865,15.5,0.246,0.83,0.1168,"{'side': 'CE', 'strike': 245.0, 'entry': 0.4, 'settle': 0.0, 'ret_pct': -100.0}"
ICICIBANK,2026-08-20,1405.5,1411.9,True,0.455,0.455,1420.0,-1.032,27.0,0.181,0.66,0.136,"{'side': 'CE', 'strike': 1410.0, 'entry': 9.35, 'settle': 1.9, 'ret_pct': -80.0}"
ICICIBANK,2026-08-21,1418.0,1420.0,True,0.141,0.141,1420.0,-0.141,26.0,0.154,0.65,0.0634,"{'side': 'CE', 'strike': 1420.0, 'entry': 7.15, 'settle': 0.0, 'ret_pct': -100.0}"
ICICIBANK,2026-08-24,1414.0,1415.0,True,0.071,0.071,1420.0,-0.424,25.8,0.161,0.62,0.0818,"{'side': 'CE', 'strike': 1420.0, 'entry': 3.55, 'settle': 0.0, 'ret_pct': -100.0}"
ICICIBANK,2026-08-25,1420.8,1422.7,False,0.134,0.134,1420.0,0.056,37.8,0.161,0.76,0.0813,"{'side': 'CE', 'strike': 1430.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
M&M,2026-08-20,3441.0,3424.8,True,-0.471,0.471,3400.0,1.192,34.2,0.155,0.52,0.1502,"{'side': 'CE', 'strike': 3450.0, 'entry': 20.35, 'settle': 0.0, 'ret_pct': -100.0}"
M&M,2026-08-21,3417.0,3412.2,True,-0.14,0.14,3400.0,0.498,33.6,0.156,0.51,0.1015,"{'side': 'CE', 'strike': 3450.0, 'entry': 11.45, 'settle': 0.0, 'ret_pct': -100.0}"
M&M,2026-08-24,3410.1,3414.1,True,0.117,0.117,3400.0,0.296,32.5,0.154,0.43,0.085,"{'side': 'CE', 'strike': 3450.0, 'entry': 3.55, 'settle': 0.0, 'ret_pct': -100.0}"
M&M,2026-08-25,3440.0,3443.0,False,0.087,0.087,3400.0,1.163,30.4,0.164,0.34,0.1436,"{'side': 'CE', 'strike': 3450.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
CGPOWER,2026-08-20,873.35,876.3,True,0.338,0.338,860.0,1.529,32.8,0.164,0.65,0.1752,"{'side': 'CE', 'strike': 880.0, 'entry': 6.2, 'settle': 0.0, 'ret_pct': -100.0}"
CGPOWER,2026-08-21,866.0,867.0,True,0.115,0.115,860.0,0.693,32.2,0.167,0.57,0.1197,"{'side': 'CE', 'strike': 880.0, 'entry': 2.6, 'settle': 0.0, 'ret_pct': -100.0}"
CGPOWER,2026-08-24,872.75,877.5,True,0.544,0.544,860.0,1.461,30.6,0.161,0.65,0.1608,"{'side': 'CE', 'strike': 880.0, 'entry': 4.15, 'settle': 0.0, 'ret_pct': -100.0}"
CGPOWER,2026-08-25,881.4,878.5,False,-0.329,0.329,860.0,2.428,36.8,0.148,0.83,0.1724,"{'side': 'PE', 'strike': 880.0, 'entry': 3.9, 'settle': 1.5, 'ret_pct': -62.0}"
INFY,2026-08-20,1129.4,1130.0,True,0.053,0.053,1120.0,0.832,36.0,0.171,0.77,0.1442,"{'side': 'CE', 'strike': 1140.0, 'entry': 8.2, 'settle': 0.0, 'ret_pct': -100.0}"
INFY,2026-08-21,1119.0,1121.0,True,0.179,0.179,1120.0,-0.089,24.4,0.196,0.71,0.0733,
INFY,2026-08-24,1129.5,1130.0,True,0.044,0.044,1120.0,0.841,40.6,0.156,0.84,0.1454,"{'side': 'CE', 'strike': 1140.0, 'entry': 4.05, 'settle': 0.0, 'ret_pct': -100.0}"
INFY,2026-08-25,1131.6,1144.0,False,1.096,1.096,1120.0,1.025,44.3,0.179,0.8,0.1961,"{'side': 'CE', 'strike': 1140.0, 'entry': 0.05, 'settle': 4.0, 'ret_pct': 7900.0}"
TCS,2026-08-20,2290.0,2298.0,True,0.349,0.349,2300.0,-0.437,32.0,0.142,0.75,0.0859,"{'side': 'CE', 'strike': 2300.0, 'entry': 20.95, 'settle': 0.0, 'ret_pct': -100.0}"
TCS,2026-08-21,2292.6,2302.0,True,0.41,0.41,2300.0,-0.323,29.4,0.128,1.01,0.0667,"{'side': 'CE', 'strike': 2300.0, 'entry': 15.9, 'settle': 2.0, 'ret_pct': -87.0}"
TCS,2026-08-24,2281.0,2284.1,True,0.136,0.136,2300.0,-0.833,27.5,0.14,0.68,0.0959,"{'side': 'CE', 'strike': 2300.0, 'entry': 7.65, 'settle': 0.0, 'ret_pct': -100.0}"
TCS,2026-08-25,2288.0,2296.2,False,0.358,0.358,2300.0,-0.524,20.0,0.145,0.84,0.0664,"{'side': 'CE', 'strike': 2300.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
MAZDOCK,2026-08-20,2565.0,2570.0,True,0.195,0.195,2500.0,2.534,41.8,0.17,0.48,0.22,"{'side': 'CE', 'strike': 2600.0, 'entry': 19.45, 'settle': 0.0, 'ret_pct': -100.0}"
MAZDOCK,2026-08-21,2549.7,2552.0,True,0.09,0.09,2500.0,1.949,27.4,0.168,0.5,0.157,"{'side': 'CE', 'strike': 2550.0, 'entry': 29.55, 'settle': 2.0, 'ret_pct': -93.0}"
MAZDOCK,2026-08-24,2538.1,2540.0,True,0.075,0.075,2500.0,1.501,27.2,0.166,0.58,0.1548,"{'side': 'CE', 'strike': 2550.0, 'entry': 14.55, 'settle': 0.0, 'ret_pct': -100.0}"
MAZDOCK,2026-08-25,2575.0,2610.0,False,1.359,1.359,2500.0,2.913,23.3,0.136,0.79,0.1135,"{'side': 'CE', 'strike': 2600.0, 'entry': 0.05, 'settle': 10.0, 'ret_pct': 19900.0}"
HAL,2026-08-20,4977.0,4998.0,True,0.422,0.422,5000.0,-0.462,25.8,0.143,0.49,0.0749,"{'side': 'CE', 'strike': 5000.0, 'entry': 39.95, 'settle': 0.0, 'ret_pct': -100.0}"
HAL,2026-08-21,4977.0,5000.0,True,0.462,0.462,5000.0,-0.462,19.8,0.118,0.53,0.0515,"{'side': 'CE', 'strike': 5000.0, 'entry': 33.9, 'settle': 0.0, 'ret_pct': -100.0}"
HAL,2026-08-24,4875.0,4906.0,True,0.636,0.636,4900.0,-0.513,14.2,0.142,0.54,0.052,"{'side': 'CE', 'strike': 4900.0, 'entry': 24.5, 'settle': 6.0, 'ret_pct': -76.0}"
HAL,2026-08-25,4889.0,4900.0,False,0.225,0.225,4800.0,1.82,10.1,0.132,1.05,0.0664,"{'side': 'CE', 'strike': 4900.0, 'entry': 7.45, 'settle': 0.0, 'ret_pct': -100.0}"
MUTHOOTFIN,2026-08-20,2972.0,2970.0,True,-0.067,0.067,2950.0,0.74,44.7,0.171,0.53,0.1624,"{'side': 'CE', 'strike': 3000.0, 'entry': 21.0, 'settle': 0.0, 'ret_pct': -100.0}"
MUTHOOTFIN,2026-08-21,3038.0,3022.0,True,-0.527,0.527,3000.0,1.251,33.4,0.147,0.68,0.144,"{'side': 'CE', 'strike': 3050.0, 'entry': 25.8, 'settle': 0.0, 'ret_pct': -100.0}"
MUTHOOTFIN,2026-08-24,3199.8,3209.0,True,0.288,0.288,3100.0,3.119,23.2,0.129,0.95,0.1069,"{'side': 'CE', 'strike': 3200.0, 'entry': 23.8, 'settle': 9.0, 'ret_pct': -62.0}"
MUTHOOTFIN,2026-08-25,3216.3,3201.0,False,-0.476,0.476,3100.0,3.616,14.6,0.216,1.01,0.1325,"{'side': 'CE', 'strike': 3250.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
ITC,2026-08-20,270.8,271.65,True,0.314,0.314,272.5,-0.628,26.6,0.16,1.36,0.0953,"{'side': 'CE', 'strike': 272.5, 'entry': 1.5, 'settle': 0.0, 'ret_pct': -100.0}"
ITC,2026-08-21,269.55,269.4,True,-0.056,0.056,272.5,-1.094,33.1,0.201,0.92,0.1816,"{'side': 'CE', 'strike': 270.0, 'entry': 1.4, 'settle': 0.0, 'ret_pct': -100.0}"
ITC,2026-08-24,268.45,269.7,True,0.466,0.466,270.0,-0.577,27.8,0.156,1.1,0.0933,"{'side': 'CE', 'strike': 270.0, 'entry': 0.65, 'settle': 0.0, 'ret_pct': -100.0}"
ITC,2026-08-25,270.35,271.4,False,0.388,0.388,272.5,-0.795,17.6,0.181,1.2,0.0898,"{'side': 'CE', 'strike': 272.5, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
ADANIPORTS,2026-08-20,1690.5,1696.0,True,0.325,0.325,1700.0,-0.562,43.1,0.183,0.57,0.152,"{'side': 'CE', 'strike': 1700.0, 'entry': 11.05, 'settle': 0.0, 'ret_pct': -100.0}"
ADANIPORTS,2026-08-21,1692.5,1700.0,True,0.443,0.443,1700.0,-0.443,41.4,0.179,0.58,0.1326,"{'side': 'CE', 'strike': 1700.0, 'entry': 9.1, 'settle': 0.0, 'ret_pct': -100.0}"
ADANIPORTS,2026-08-24,1678.6,1672.1,True,-0.387,0.387,1700.0,-1.275,18.3,0.18,0.45,0.1157,"{'side': 'CE', 'strike': 1680.0, 'entry': 6.5, 'settle': 0.0, 'ret_pct': -100.0}"
ADANIPORTS,2026-08-25,1695.2,1702.7,False,0.442,0.442,1700.0,-0.283,31.5,0.153,0.66,0.0814,"{'side': 'CE', 'strike': 1700.0, 'entry': 0.1, 'settle': 2.7, 'ret_pct': 2600.0}"
