symbol,date,p1510,cas_close,approx_close,auction_move_pct,abs_move_pct,max_pain,mp_dist_pct,atm_oi_share,oi_hhi,pcr_oi,blast_score,best_option
KAYNES,2026-08-25,3938.3,3936.0,False,-0.058,0.058,3850.0,2.242,16.8,0.137,0.75,0.0917,"{'side': 'CE', 'strike': 3950.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
MARUTI,2026-08-20,13820.0,13809.0,True,-0.08,0.08,13800.0,0.145,24.7,0.193,0.55,0.0768,"{'side': 'CE', 'strike': 13900.0, 'entry': 55.15, 'settle': 0.0, 'ret_pct': -100.0}"
MARUTI,2026-08-21,13595.0,13565.0,True,-0.221,0.221,13700.0,-0.772,13.3,0.175,0.43,0.0723,"{'side': 'CE', 'strike': 13600.0, 'entry': 110.35, 'settle': 0.0, 'ret_pct': -100.0}"
MARUTI,2026-08-24,13590.0,13620.0,True,0.221,0.221,13700.0,-0.809,22.7,0.148,0.86,0.0872,"{'side': 'CE', 'strike': 13600.0, 'entry': 64.9, 'settle': 20.0, 'ret_pct': -69.0}"
MARUTI,2026-08-25,13621.0,13678.0,False,0.418,0.418,13800.0,-1.314,20.6,0.169,1.17,0.1196,"{'side': 'CE', 'strike': 13700.0, 'entry': 3.05, 'settle': 0.0, 'ret_pct': -100.0}"
MCX,2026-08-20,3120.0,3126.0,True,0.192,0.192,3050.0,2.244,24.4,0.117,0.94,0.1008,"{'side': 'CE', 'strike': 3150.0, 'entry': 35.4, 'settle': 0.0, 'ret_pct': -100.0}"
MCX,2026-08-21,3175.0,3185.0,True,0.315,0.315,3100.0,2.362,24.2,0.15,0.8,0.1284,"{'side': 'CE', 'strike': 3200.0, 'entry': 31.65, 'settle': 0.0, 'ret_pct': -100.0}"
MCX,2026-08-24,3259.7,3268.0,True,0.255,0.255,3200.0,1.831,32.0,0.129,0.81,0.1349,"{'side': 'CE', 'strike': 3300.0, 'entry': 10.95, 'settle': 0.0, 'ret_pct': -100.0}"
MCX,2026-08-25,3272.9,3280.0,False,0.217,0.217,3200.0,2.227,24.0,0.164,0.84,0.1396,"{'side': 'CE', 'strike': 3300.0, 'entry': 0.1, 'settle': 0.0, 'ret_pct': -100.0}"
GRASIM,2026-08-20,3310.0,3300.0,True,-0.302,0.302,3280.0,0.906,31.8,0.143,0.65,0.1136,"{'side': 'CE', 'strike': 3320.0, 'entry': 13.2, 'settle': 0.0, 'ret_pct': -100.0}"
GRASIM,2026-08-21,3338.0,3308.0,True,-0.899,0.899,3300.0,1.138,15.3,0.128,0.54,0.0692,"{'side': 'PE', 'strike': 3320.0, 'entry': 32.95, 'settle': 12.0, 'ret_pct': -64.0}"
GRASIM,2026-08-24,3300.0,3288.0,True,-0.364,0.364,3300.0,0.0,43.9,0.168,0.56,0.0905,"{'side': 'CE', 'strike': 3320.0, 'entry': 6.5, 'settle': 0.0, 'ret_pct': -100.0}"
GRASIM,2026-08-25,3300.0,3289.6,False,-0.315,0.315,3200.0,3.03,22.1,0.117,0.51,0.0935,"{'side': 'CE', 'strike': 3320.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
KALYANKJIL,2026-08-20,596.5,596.0,True,-0.084,0.084,600.0,-0.587,42.8,0.206,0.68,0.1729,"{'side': 'CE', 'strike': 600.0, 'entry': 7.65, 'settle': 0.0, 'ret_pct': -100.0}"
KALYANKJIL,2026-08-21,604.0,603.55,True,-0.075,0.075,600.0,0.662,30.0,0.147,0.63,0.098,"{'side': 'CE', 'strike': 605.0, 'entry': 6.0, 'settle': 0.0, 'ret_pct': -100.0}"
KALYANKJIL,2026-08-24,607.0,607.95,True,0.157,0.157,600.0,1.153,21.5,0.142,0.5,0.0963,"{'side': 'CE', 'strike': 610.0, 'entry': 4.25, 'settle': 0.0, 'ret_pct': -100.0}"
KALYANKJIL,2026-08-25,613.0,612.6,False,-0.065,0.065,610.0,0.489,14.1,0.112,0.84,0.0404,"{'side': 'CE', 'strike': 615.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
NESTLEIND,2026-08-20,1457.3,1458.0,True,0.048,0.048,1480.0,-1.558,19.0,0.136,1.01,0.0986,"{'side': 'CE', 'strike': 1460.0, 'entry': 15.0, 'settle': 0.0, 'ret_pct': -100.0}"
NESTLEIND,2026-08-21,1483.0,1477.1,True,-0.398,0.398,1480.0,0.202,28.3,0.127,1.27,0.0586,"{'side': 'PE', 'strike': 1480.0, 'entry': 8.7, 'settle': 2.9, 'ret_pct': -67.0}"
NESTLEIND,2026-08-24,1465.2,1471.3,True,0.416,0.416,1470.0,-0.328,28.5,0.135,0.97,0.0691,"{'side': 'CE', 'strike': 1470.0, 'entry': 6.1, 'settle': 1.3, 'ret_pct': -79.0}"
NESTLEIND,2026-08-25,1466.5,1479.0,False,0.852,0.852,1470.0,-0.239,30.1,0.156,1.08,0.0778,"{'side': 'CE', 'strike': 1470.0, 'entry': 13.45, 'settle': 9.0, 'ret_pct': -33.0}"
MANAPPURAM,2026-08-20,349.3,349.25,True,-0.014,0.014,355.0,-1.632,18.8,0.191,1.03,0.1374,"{'side': 'CE', 'strike': 350.0, 'entry': 4.0, 'settle': 0.0, 'ret_pct': -100.0}"
MANAPPURAM,2026-08-21,357.45,357.5,True,0.014,0.014,360.0,-0.713,29.1,0.163,0.63,0.1094,"{'side': 'CE', 'strike': 360.0, 'entry': 1.6, 'settle': 0.0, 'ret_pct': -100.0}"
MANAPPURAM,2026-08-24,365.4,365.05,True,-0.096,0.096,365.0,0.109,40.2,0.166,0.61,0.0923,"{'side': 'CE', 'strike': 370.0, 'entry': 2.25, 'settle': 0.0, 'ret_pct': -100.0}"
MANAPPURAM,2026-08-25,365.55,367.45,False,0.52,0.52,365.0,0.15,28.4,0.135,0.73,0.0597,"{'side': 'CE', 'strike': 370.0, 'entry': 0.15, 'settle': 0.0, 'ret_pct': -100.0}"
BEL,2026-08-20,407.75,409.4,True,0.405,0.405,405.0,0.674,29.5,0.161,0.58,0.1064,"{'side': 'CE', 'strike': 410.0, 'entry': 2.5, 'settle': 0.0, 'ret_pct': -100.0}"
BEL,2026-08-21,414.0,414.0,True,0.0,0.0,405.0,2.174,27.4,0.136,0.54,0.1278,"{'side': 'CE', 'strike': 415.0, 'entry': 2.0, 'settle': 0.0, 'ret_pct': -100.0}"
BEL,2026-08-24,409.0,409.0,True,0.0,0.0,400.0,2.2,14.9,0.122,0.57,0.076,"{'side': 'CE', 'strike': 410.0, 'entry': 1.5, 'settle': 0.0, 'ret_pct': -100.0}"
BEL,2026-08-25,411.2,413.25,False,0.499,0.499,400.0,2.724,18.7,0.153,0.83,0.1097,"{'side': 'CE', 'strike': 415.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
TVSMOTOR,2026-08-20,4371.7,4390.0,True,0.419,0.419,4300.0,1.64,34.6,0.165,0.54,0.1837,"{'side': 'CE', 'strike': 4400.0, 'entry': 31.0, 'settle': 0.0, 'ret_pct': -100.0}"
TVSMOTOR,2026-08-21,4365.0,4365.0,True,0.0,0.0,4300.0,1.489,32.3,0.164,0.61,0.1726,"{'side': 'CE', 'strike': 4400.0, 'entry': 18.1, 'settle': 0.0, 'ret_pct': -100.0}"
TVSMOTOR,2026-08-24,4364.5,4363.5,True,-0.023,0.023,4300.0,1.478,25.5,0.142,0.62,0.125,"{'side': 'CE', 'strike': 4400.0, 'entry': 10.9, 'settle': 0.0, 'ret_pct': -100.0}"
TVSMOTOR,2026-08-25,4373.9,4420.0,False,1.054,1.054,4300.0,1.69,17.3,0.143,0.73,0.0976,"{'side': 'CE', 'strike': 4400.0, 'entry': 6.95, 'settle': 20.0, 'ret_pct': 188.0}"
LICI,2026-08-20,421.9,419.0,True,-0.687,0.687,410.0,2.821,24.7,0.14,0.53,0.1213,"{'side': 'PE', 'strike': 420.0, 'entry': 3.1, 'settle': 1.0, 'ret_pct': -68.0}"
LICI,2026-08-21,424.0,422.25,True,-0.413,0.413,415.0,2.123,32.1,0.149,0.47,0.1566,"{'side': 'CE', 'strike': 425.0, 'entry': 2.35, 'settle': 0.0, 'ret_pct': -100.0}"
LICI,2026-08-24,422.6,421.85,True,-0.177,0.177,415.0,1.798,33.5,0.15,0.49,0.1638,"{'side': 'CE', 'strike': 425.0, 'entry': 1.6, 'settle': 0.0, 'ret_pct': -100.0}"
LICI,2026-08-25,421.0,424.0,False,0.713,0.713,415.0,1.425,33.7,0.159,0.59,0.1682,"{'side': 'CE', 'strike': 425.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
COALINDIA,2026-08-20,402.05,402.5,True,0.112,0.112,405.0,-0.734,26.0,0.152,0.76,0.0946,"{'side': 'CE', 'strike': 405.0, 'entry': 1.8, 'settle': 0.0, 'ret_pct': -100.0}"
COALINDIA,2026-08-21,404.35,405.2,True,0.21,0.21,405.0,-0.161,25.7,0.182,0.56,0.0757,"{'side': 'CE', 'strike': 405.0, 'entry': 2.0, 'settle': 0.2, 'ret_pct': -90.0}"
COALINDIA,2026-08-24,405.45,406.9,True,0.358,0.358,410.0,-1.122,27.0,0.156,0.55,0.1228,"{'side': 'CE', 'strike': 410.0, 'entry': 0.45, 'settle': 0.0, 'ret_pct': -100.0}"
COALINDIA,2026-08-25,402.7,404.0,False,0.323,0.323,410.0,-1.813,22.0,0.176,0.64,0.141,"{'side': 'CE', 'strike': 405.0, 'entry': 0.5, 'settle': 0.0, 'ret_pct': -100.0}"
TITAN,2026-08-20,5070.0,5068.0,True,-0.039,0.039,5000.0,1.381,28.0,0.161,0.56,0.146,"{'side': 'CE', 'strike': 5100.0, 'entry': 23.5, 'settle': 0.0, 'ret_pct': -100.0}"
TITAN,2026-08-21,5067.0,5067.0,True,0.0,0.0,5000.0,1.322,24.6,0.137,0.65,0.11,"{'side': 'CE', 'strike': 5100.0, 'entry': 16.4, 'settle': 0.0, 'ret_pct': -100.0}"
TITAN,2026-08-24,5065.5,5065.5,True,0.0,0.0,5000.0,1.293,24.9,0.161,0.63,0.129,"{'side': 'CE', 'strike': 5100.0, 'entry': 10.5, 'settle': 0.0, 'ret_pct': -100.0}"
TITAN,2026-08-25,5112.0,5124.8,False,0.25,0.25,5000.0,2.191,27.4,0.143,0.55,0.1339,"{'side': 'CE', 'strike': 5150.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
NATIONALUM,2026-08-20,385.6,385.6,True,0.0,0.0,390.0,-1.141,22.9,0.17,0.53,0.1197,"{'side': 'CE', 'strike': 390.0, 'entry': 3.6, 'settle': 0.0, 'ret_pct': -100.0}"
NATIONALUM,2026-08-21,396.3,394.45,True,-0.467,0.467,390.0,1.59,26.6,0.155,0.56,0.1421,"{'side': 'CE', 'strike': 400.0, 'entry': 2.7, 'settle': 0.0, 'ret_pct': -100.0}"
NATIONALUM,2026-08-24,400.5,403.3,True,0.699,0.699,400.0,0.125,29.4,0.172,0.66,0.0764,"{'side': 'CE', 'strike': 410.0, 'entry': 0.55, 'settle': 0.0, 'ret_pct': -100.0}"
NATIONALUM,2026-08-25,395.95,397.8,False,0.467,0.467,390.0,1.503,16.2,0.163,0.69,0.1069,"{'side': 'CE', 'strike': 400.0, 'entry': 0.05, 'settle': 0.0, 'ret_pct': -100.0}"
SWIGGY,2026-08-20,279.65,279.0,True,-0.232,0.232,280.0,-0.125,21.9,0.145,0.57,0.052,"{'side': 'CE', 'strike': 280.0, 'entry': 4.7, 'settle': 0.0, 'ret_pct': -100.0}"
SWIGGY,2026-08-21,281.8,282.5,True,0.248,0.248,280.0,0.639,22.2,0.146,0.58,0.0772,"{'side': 'CE', 'strike': 285.0, 'entry': 2.35, 'settle': 0.0, 'ret_pct': -100.0}"
