year,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
2019,46,56.52,12.86,15.13,9.55,-33.63,80.76,-34.08,64.36,2.07
2020,53,54.72,15.51,15.61,20.07,-33.52,82.24,-34.1,86.34,2.51
2021,52,55.77,14.38,16.17,15.55,-32.62,79.82,-32.81,103.63,2.17
2022,52,38.46,-1.72,-31.43,-0.4,-32.32,74.78,-33.0,111.53,0.98
2023,52,38.46,1.69,-32.2,3.89,-33.16,81.34,-33.32,77.56,1.25
2024,13,46.15,12.71,-31.49,15.57,-31.79,82.52,-31.85,119.36,1.75
