vrp,signal,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
vrp1.0,BASELINE_every_bar,1980,45,50.0,0.1,22.63,33.99,13.03,32.47,-0.65,-4.17,-6.14,38.84,-4.92,27.73,-6.9,106.42
vrp1.0,LateBreak_1415,21,21,33.33,0.05,38.1,38.1,28.57,18.26,23.79,-4.37,-9.32,23.81,-7.88,33.33,-6.02,51.99
vrp1.0,ORB30,53,44,41.51,0.09,18.87,24.53,9.43,26.74,7.79,0.24,-1.84,39.62,-6.07,20.75,-6.97,117.16
vrp1.0,RangeExp,37,25,45.95,0.11,29.73,32.43,18.92,36.61,0.47,-3.65,-6.19,32.43,-7.22,29.73,-9.58,110.64
vrp1.25,BASELINE_every_bar,1980,45,50.0,0.1,17.83,28.33,9.6,26.99,-3.09,-7.79,-9.49,37.22,-5.28,24.65,-7.86,119.67
vrp1.25,LateBreak_1415,21,21,33.33,0.05,33.33,33.33,28.57,14.94,11.28,-16.49,-20.37,23.81,-11.06,28.57,-12.12,59.8
vrp1.25,ORB30,53,44,41.51,0.09,15.09,20.75,7.55,22.84,4.66,-2.82,-4.58,39.62,-4.9,18.87,-6.66,130.44
vrp1.25,RangeExp,37,25,45.95,0.11,29.73,32.43,16.22,30.29,-3.33,-8.16,-10.32,29.73,-5.81,29.73,-9.69,115.8
