vol_regime,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
high,133,49.62,13.12,-3.71,51.17,-31.98,80.08,-32.42,312.58,2.09
low,169,43.2,5.82,-31.22,10.6,-33.49,81.19,-34.17,194.45,1.3
mid,140,57.14,15.6,18.3,43.9,-32.69,81.83,-33.05,265.91,2.3
