entry_minute,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
5,45,33.33,-2.12,-31.05,-2.75,-31.88,74.67,-31.96,266.76,0.95
45,45,31.11,-1.27,-31.33,13.74,-32.08,76.71,-32.31,250.6,1.27
225,45,60.0,18.64,34.09,63.06,-32.49,71.43,-32.86,197.4,3.62
315,45,60.0,14.71,19.62,33.91,-33.24,64.0,-34.19,159.38,2.88
345,45,68.89,15.26,32.87,20.81,-34.18,49.98,-34.74,115.8,2.85
