date,open,close,range_pct,oc_move_pct,fh_range_pct,move_0915_1430,move_1430_1525,move_1500_1525,move_1415_1525,range_1430_1525_pct,range_1500_1525_pct,straddle_open_pts,straddle_open_pct,sigma_day,is_expiry,is_monthly,gap_pct,rv20,vol_regime,range20,range_gt_straddle,range_gt_2straddle,close_outside_straddle,last_hour_same_sign
2016-05-27,17372.25,17510.35,1.177452546446196,0.7949459626703348,0.9103599130797764,0.19226064556980837,0.7641196967651309,0.5768993666149802,0.8145105894998839,0.8566183968998697,0.6428471073313943,150.919171460092,0.8687370459214668,0.010761218637812032,False,False,-0.02794873567988354,0.9782926034374574,mid,1.5323710436579971,True,False,False,True
2016-05-30,17646.95,17495.15,1.0265229968918224,-0.8602053045993707,0.9001555509592432,-0.48705300349352054,-0.29895791811400674,-0.16137493727474972,-0.19665963632218286,0.43334662035190785,0.22495552210209804,152.9318910850834,0.8666193936350666,0.010541120620302031,False,False,0.40261902246385706,0.95828369275473,low,1.4976249813427285,True,False,False,True
2016-05-31,17582.0,17593.5,1.0581845068820344,0.06540780343533559,0.8062222727789786,-0.36457740871345123,0.5511505374502512,0.10200892222884672,0.7979971387696683,0.7803446760171067,0.3688233455516805,148.92783780216814,0.8470471948707095,0.010561249286263754,False,False,0.685618585722314,0.9601135714785229,low,1.5026170804444072,True,False,False,False
2016-06-01,17625.6,17453.7,1.5772512708787219,-0.975285947712401,0.5693423202614297,-0.820397603485834,-0.2885990503975755,-0.01491411477559934,-0.3575695559963621,0.5320061781362623,0.2733298342525674,144.50207030779256,0.8198419929409074,0.010179111543442792,False,False,0.4396510074743398,0.9253737766766172,low,1.4466056192802705,True,False,True,True
2016-06-02,17404.3,17564.95,1.4131565187913375,0.9230477525669079,0.4498888205788183,0.5808909292531306,0.27620048670695674,-0.09533024102900134,0.3338029819352162,0.6597964056805328,0.2646481318118437,142.54070534885432,0.8189970602026759,0.01026294473040678,True,False,-0.27816451526037067,0.9329949754915254,low,1.4593659068292988,True,False,True,True
2016-06-03,17672.8,17662.4,0.6365714544384591,-0.058847494454739024,0.5867774206690548,0.09591009913538784,-0.1153210192343157,-0.06928106053750716,-0.25290516338635216,0.266538532200859,0.23555560582751459,147.0506061375536,0.8320730508892399,0.01030598322578636,False,False,0.5251936384675249,0.936907565980578,low,1.4672456141714396,False,False,False,False
2016-06-06,17701.35,17673.2,0.6623788581096922,-0.1590274188126739,0.37002827467961485,-0.28133447448922544,0.1297336494528789,0.08550711096388941,-0.2781578390577577,0.33538131212271494,0.17073108579874943,144.71933642361728,0.8175610132764861,0.010246759500371102,False,False,0.2720468339523441,0.9315235909428272,low,1.4500689860528018,False,False,False,False
2016-06-07,17782.7,17945.65,1.6173022094507705,0.9163400383518816,0.23927750004217171,1.0839186400265488,-0.17357006361454763,0.03344807882597056,0.052969793278401234,0.4812118750851856,0.22187225621230003,139.70629523880962,0.7856303893042654,0.009793435263620654,False,False,0.6416495032025793,0.8903122966927867,low,1.3747463840269027,True,True,True,False
2016-06-08,17906.4,17935.75,0.7796095250860149,0.16390787651341387,0.7237635705669603,0.12341955948709238,0.07195247789832937,-0.08409211149165152,0.002229530126540702,0.26912457818557045,0.21552084203490152,141.8626682940594,0.7922456121501775,0.009924704523696815,False,False,0.170514860147164,0.9022458657906194,low,1.396227482843751,False,False,False,True
2016-06-09,17940.95,17868.35,1.028094944805045,-0.40466084571888494,0.6081060367483246,-0.4512024168173978,0.14165733482642828,0.050905673465262424,0.4157484735770822,0.5142777155655217,0.45563374766449655,140.01231426305003,0.7804063567595363,0.00951919673716119,True,False,0.11178790962182994,0.8653815215601081,low,1.3314404333833072,True,False,False,False
2016-06-10,17839.75,17826.55,1.3242898583220057,-0.07399206827450877,0.40415364565085576,0.15106713939376792,-0.2417905936742737,-0.023278446682550857,-0.06111783968062445,0.40606267525619877,0.16687561176038343,138.87773147457483,0.778473529475328,0.009507144713479283,False,False,-0.21350600363211347,0.8642858830435711,low,1.3288078505787486,True,False,False,False
2016-06-13,17662.1,17608.75,0.7869958838416723,-0.3020592115320242,0.6315783513851653,-0.5707135618074788,0.26734922813231865,0.26021278231236344,0.2533627499822,0.43362393444677483,0.34789936541107175,135.26479689769258,0.765847758181035,0.009343418372339306,False,False,-1.1555797392092115,0.8494016702126641,low,1.3071004093192278,True,False,False,False
2016-06-14,17655.25,17676.15,0.8150550119652671,0.11837838603248052,0.6774188980614955,-0.10988232961868238,0.21036695140865813,-0.028283822502039868,0.5384479727846392,0.6724938123197837,0.20534055136483173,130.49962055488868,0.739154758810488,0.008894411118928202,False,False,0.5122453325761445,0.8085828289934729,low,1.242805268661225,True,False,False,False
2016-06-15,17749.6,17885.4,1.592430251949348,0.7650876639473836,0.5118425203948176,0.4467706314508657,0.4386137114460009,-0.12604784240674016,0.44143052657557025,0.6918542366606943,0.23173840053095854,131.50181095010794,0.7408719686646907,0.008860212537697983,False,False,0.39544810380087725,0.8054738670634529,low,1.23489451423379,True,True,True,True
2016-06-16,17767.5,17645.8,1.5860419304910611,-0.6849584916279738,0.733924299985917,-0.7277332207682563,0.15024208819494067,-0.21296547360810658,-0.09134176241525349,0.5278316381490092,0.33413548445409347,130.19216254436833,0.7327545380293701,0.008990248102862473,True,False,-0.3231686179789306,0.8172952820784065,low,1.2542201688376071,True,True,False,False
2016-06-17,17796.55,17685.5,1.4168476474372924,-0.6239973478005534,0.5234160553590524,-0.7360977268065949,0.20803201711805386,-0.00028244837549928903,-0.03726939561464748,0.7126865566031143,0.3070213841665213,129.7979790850368,0.7293434912105817,0.009138055155982145,False,False,0.7168844710922606,0.8307322869074677,low,1.276335678116449,True,False,False,False
2016-06-20,17533.95,17708.9,2.0143778213123724,0.997778595239529,1.6011794261988885,1.2789474134464962,-0.299016792242468,-0.07280731459533563,-0.1652156261277682,0.45190390917998446,0.21080257365390306,132.19514440889725,0.7539381851145763,0.009256237037436017,False,False,-1.4684345933109078,0.841476094312365,low,1.2967349906849586,True,True,True,False
2016-06-21,17690.1,17585.65,1.004234006591245,-0.590443242265426,0.8224939372869573,-0.0777270902934446,-0.33293072382023503,-0.25110619782184873,-0.2973958760727813,0.4794541859603369,0.34594337512775947,134.16328651673757,0.7584088643746365,0.009486128432209235,False,False,0.29787282101090273,0.8623753120190213,low,1.3267782922293847,True,False,False,True
2016-06-22,17642.55,17610.8,1.343910035680775,-0.1799626471230109,0.9015136700760337,-0.3559576138369991,0.3191171660575254,0.1615797903154137,0.4050738128177356,0.37912939603806345,0.2777241387144124,138.23421190941735,0.7835273920687053,0.009527589664282535,False,False,0.13903381450215413,0.8661445149347758,low,1.3364768049163547,True,False,False,False
2016-06-23,17621.8,17897.6,1.6825749923390347,1.565106856280285,0.3087085314780638,1.046714864542797,0.5357669357669348,0.09617293235184565,0.8049575700924017,0.7281151281151363,0.18591569771505412,127.44279648752399,0.7232110027779455,0.008984606718457964,True,False,0.11356667499489159,0.816782428950724,low,1.2755631967123813,True,True,True,True
2016-06-24,17215.9,17413.75,2.9754471157476514,1.149228329625518,1.5244628512015097,0.6197759048321538,0.6058559338667502,0.13962909226723497,0.033578812630219446,0.8257998221975874,0.4280809618893023,117.03110626758826,0.6797850026288967,0.008473474924234795,False,False,-3.8203446272125907,0.770315902203163,low,1.2273093523233352,True,True,True,True
2016-06-27,17427.1,17503.6,1.5200463645701319,0.43897148693701205,1.125545845263994,0.5459887187197143,-0.09673415229208837,-0.10642577729337299,0.019997943068705837,0.38180028249795445,0.1629198896367501,132.2356990861117,0.758793483058637,0.009388816228272293,False,False,-0.3873375924197897,0.8535287480247539,low,1.3171456920809064,True,True,False,False
2016-06-28,17548.45,17558.3,0.8200154429593579,0.05613031350346631,0.6447862916667937,0.016810601506112022,-0.020226306733384103,-0.11697138043306188,-0.08170958080423452,0.24214592568114224,0.21003620136152307,138.83548000984592,0.7911552302901163,0.009531207508152874,False,False,-0.004570488356681057,0.8664734098320793,low,1.3419829087007005,True,False,False,False
2016-06-29,17624.05,17685.35,0.842314904916865,0.34782016619334666,0.40229118732641733,0.5750664574828201,-0.20620127049321146,-0.161141025206879,-0.10645086600745701,0.2964672165367172,0.24495693499044904,134.58754150911773,0.7636584185196804,0.009479424357054102,False,False,0.47812145822774266,0.861765850641282,low,1.3302808119577025,True,False,False,False
2016-06-30,17809.3,17914.0,1.0059351013234537,0.5878950885211731,0.4930008478716136,0.7818948526893355,0.014764423867119625,0.2305987191441483,-0.08182167328105727,0.2869312562853267,0.2713582990413042,131.88531825340579,0.7405418419219497,0.0092690593335873,True,True,0.7913329394103163,0.8426417575988453,low,1.2936924909501557,True,False,False,True
2016-07-01,17990.25,17955.8,0.6628590486513528,-0.19149261405484452,0.5099984713942274,0.3235085671405402,-0.4302308508487007,-0.23372138856043723,-0.4498116552182574,0.523313636351048,0.35085966168690613,131.6519330780502,0.7317960177209889,0.009153219086678184,False,False,0.590041308473821,0.8321108260616531,low,1.273289724333257,False,False,False,False
2016-07-04,18086.9,18104.7,0.5061674471578838,0.09841376908148458,0.19738042450611817,0.004699533916796561,0.06993683570373221,0.0298424979276124,0.04919437304813368,0.2659258337825445,0.12904117159437514,132.61212025701752,0.7331943022685894,0.009157326376375518,False,False,0.7571369696699692,0.832484216034138,low,1.2745218174746578,False,False,False,True
