year,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
2019,46,67.39,6.6,21.58,4.05,-98.29,80.76,-334.1,64.36,1.25
2020,53,69.81,9.82,28.92,15.63,-122.44,82.24,-319.23,86.34,1.69
2021,52,67.31,11.59,32.33,13.77,-100.32,79.82,-202.03,103.63,1.68
2022,52,55.77,-15.6,3.81,-11.75,-202.04,77.65,-395.3,111.53,0.68
2023,52,53.85,-6.38,6.3,-0.52,-139.92,81.34,-224.44,77.56,0.98
2024,13,76.92,26.31,47.7,30.0,-85.4,83.73,-107.74,119.36,2.37
