signal,hour_bucket,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
RSI_mom,11-12,353,253,53.54,0.15,20.11,32.01,9.07,27.47,5.51,0.79,-1.73,44.48,0.05,30.59,0.87,92.67
RSI_mom,12-13,410,296,46.59,0.17,22.68,35.37,13.66,27.87,2.0,2.19,-0.78,39.51,-2.95,31.95,-3.68,81.78
RSI_mom,13-14,492,320,40.45,0.14,23.98,33.74,19.72,26.04,-6.52,-10.49,-13.54,28.25,-11.1,26.83,-7.75,73.09
RSI_mom,14-15,481,325,49.48,0.18,39.5,47.82,33.89,46.2,4.42,12.95,7.77,33.47,-8.74,32.43,-4.28,51.53
RSI_mom,15-15:30,166,153,53.01,0.06,40.36,40.36,25.3,34.59,1.44,1.44,-10.17,37.35,-14.49,32.53,-1.92,27.23
RangeExp,09:15-10,32,31,59.38,0.3,37.5,46.88,18.75,39.01,25.16,26.35,24.57,53.12,6.01,43.75,20.05,150.74
RangeExp,10-11,26,22,61.54,0.39,46.15,50.0,26.92,57.35,19.68,2.74,1.26,50.0,13.78,50.0,18.19,152.86
RangeExp,11-12,39,32,43.59,0.32,33.33,38.46,23.08,39.09,13.5,-0.63,-2.3,43.59,2.7,35.9,-6.01,132.64
RangeExp,12-13,60,49,45.0,0.23,31.67,31.67,18.33,28.45,17.82,-3.38,-5.79,35.0,-5.18,30.0,-8.74,106.51
RangeExp,13-14,88,75,51.14,0.25,34.09,46.59,29.55,39.23,0.07,-9.33,-11.8,37.5,-1.01,38.64,1.79,86.93
RangeExp,14-15,96,77,50.0,0.26,51.04,56.25,44.79,69.5,44.27,62.89,53.84,37.5,-7.81,34.38,-2.44,50.8
RangeExp,15-15:30,58,54,53.45,0.15,56.9,56.9,36.21,60.51,14.47,14.47,2.87,36.21,-6.71,41.38,-1.01,29.21
SessMean_cross,10-11,698,297,46.99,0.13,12.89,24.64,8.74,19.98,-0.96,0.87,-1.55,39.97,-5.0,22.78,-4.71,94.29
SessMean_cross,11-12,551,233,45.19,0.12,13.79,25.05,10.71,19.88,-0.9,0.96,-1.75,39.75,-6.52,23.41,-5.54,87.59
SessMean_cross,12-13,459,200,47.49,0.14,17.43,30.07,15.25,25.0,-2.12,-1.41,-4.37,40.31,-6.95,26.8,-5.78,84.92
SessMean_cross,13-14,428,192,48.13,0.16,26.4,38.08,20.09,31.85,-0.44,-5.75,-9.08,32.24,-7.41,31.07,-5.1,68.79
SessMean_cross,14-15,399,174,44.86,0.15,37.34,44.61,26.57,39.49,-8.96,-4.87,-10.77,29.07,-11.66,29.32,-5.07,47.8
SessMean_cross,15-15:30,150,103,54.0,0.06,34.0,34.0,17.33,24.42,1.3,1.3,-13.02,35.33,-24.47,22.0,-4.57,25.88
