,minute,preCAS_pct,CAS_pct,preCAS_pts,CAS_pts
0,0,100.0,100.0,314.4779508266656,314.4779508266656
1,1,98.75937295229117,99.0255368249567,310.57645230962953,311.413479002229
2,2,97.76678366596317,98.2478103210473,307.45497786186024,308.9677006296988
3,3,96.92904895382559,97.59277331193789,304.8204869057663,306.9077536662953
4,4,96.66704971624738,97.38817133622315,303.99655707224883,306.2643255657167
5,5,96.43861764927398,97.20988463231318,303.2781885889999,305.7036531926642
6,6,96.21655722426095,97.0366622918988,302.5798575148219,305.1589071261551
7,7,96.00317282585877,96.87029321715406,301.90881063134293,304.6357130690885
8,8,95.79691911443565,96.7095636476084,301.2601881861556,304.13025401240884
9,9,95.60798180340936,96.56239771316568,300.6660220020931,303.66744959745847
10,10,95.43664654808934,96.4289998176092,300.1272104021191,303.24794262906653
11,11,95.26244860409464,96.29342945490397,299.57939627746237,302.82160373050283
12,12,95.09541240953322,96.16348634886991,299.05410427566676,302.4129613134064
13,13,94.93026339733946,96.03506313858254,298.53474704630935,302.0090986333089
14,14,94.74592815459354,95.89178140263968,297.9550533522706,301.55850916620693
15,15,94.54975349504662,95.73936810103983,297.3381273028863,301.0792029385484
16,16,94.3632729929824,95.59455471074727,296.75168724130344,300.6237967562338
17,17,94.17713235487591,95.45007190423455,296.1663159769305,300.1694301870157
18,18,93.96733859242727,95.28730969479604,295.5065608518198,299.65757892605325
19,19,93.75924325738313,95.12594954380819,294.85214690640714,299.1501368297759
20,20,93.54496739769044,94.95988519999985,294.1782965737293,298.62790108431363
21,21,93.33704937233878,94.79883425608432,293.5244402282042,298.1214313761011
22,22,93.12965596133812,94.6382745529576,292.87223367913975,297.6165065118548
23,23,92.95267638162714,94.50132797331973,292.315671923483,297.1858397144824
24,24,92.7905141539507,94.37590174567774,291.8057074728713,296.7914018839947
25,25,92.64691695812218,94.26487869955261,291.3541259539852,296.44225888359506
26,26,92.49877103517935,94.1503820990955,290.88823969128134,296.08219232071133
27,27,92.35316768728597,94.03789358756939,290.43034926649125,295.7284407547486
28,28,92.19358628651322,93.91465525132297,289.9285009474406,295.340883360288
29,29,92.01532303580179,93.7770507204376,289.36790232952626,294.908147451315
30,30,91.81390240431008,93.62164847067602,288.734478855069,294.4194416407263
31,31,91.61157211099277,93.46562796782617,288.09819469474314,293.9287915604946
32,32,91.40103087458756,93.30336524720421,287.43608892885095,293.41851108172705
33,33,91.17047508591857,93.12578257824907,286.71104180913244,292.86005274337367
34,34,90.95901222459403,92.96300314475661,286.0460377360796,292.34814731655933
35,35,90.77638444917294,92.82249551565098,285.471713650295,291.9062818037928
36,36,90.59924656422353,92.68627851846811,284.9146540595684,291.4779093823745
37,37,90.41760182024964,92.54666451682853,284.34342139093496,291.0388541309512
38,38,90.26491051027628,92.42935847756567,283.8632408882404,290.66995250248146
39,39,90.12045538415488,92.31842557162672,283.4089613677497,290.32109297309216
40,40,89.97755896677616,92.20873347478332,282.9595836425724,289.9761355147202
41,41,89.83555489347967,92.09976969466203,282.5130121427792,289.6334684518515
42,42,89.6975598852482,91.99392370658488,282.0790482686498,289.30060615751427
43,43,89.56351815344512,91.89114931177453,281.65751657722285,288.9774033467402
44,44,89.43074668779938,91.78938720319665,281.2399795927777,288.6573839529665
45,45,89.29698367159848,91.6869038296847,280.8193244004651,288.335096340008
46,46,89.15856850649124,91.58089722048808,280.38403922560246,288.0017289276657
47,47,89.01755308160307,91.47294224767722,279.94057680706464,287.66223434135463
48,48,88.86797954978726,91.35848325863644,279.47020102923125,287.30228605808225
49,49,88.7281991907122,91.25156288262443,279.0306226203538,286.9660450505835
50,50,88.5888321415488,91.14500163956372,278.5923439800172,286.63093343703076
51,51,88.46590074012238,91.05104298159739,278.2057518278889,286.335454174834
52,52,88.35068385385915,90.9630111808777,277.843420124962,286.05861357185495
53,53,88.23629547862066,90.87564170277882,277.48369390652806,285.7838558274816
54,54,88.1178056266306,90.78517039923513,277.11106944805215,285.4993435260112
55,55,87.98481568688676,90.68366528217176,276.6928454107401,285.18013231388613
56,56,87.84614056692408,90.57786334233678,276.25674273517507,284.84740854155825
57,57,87.72004285260839,90.48169502721814,275.86019322715583,284.5449803948286
58,58,87.59548663392506,90.38673771577666,275.4684913830133,284.24636058764736
59,59,87.46349158665957,90.28614780395566,275.0533960631801,283.9300274942143
60,60,87.35378146206074,90.20257088212473,274.7083819114923,283.6671965030764
61,61,87.24725158591369,90.1214430165786,274.3733689399669,283.4120672539575
62,62,87.12884841315334,90.0313035885092,274.0010170685564,283.128598627678
63,63,87.01504861018473,89.94469906951296,273.6431417801359,282.85624651101534
64,64,86.90919851116011,89.86417129896647,273.3102665577753,282.6030044283543
65,65,86.80606940466818,89.7857385150228,272.98594825697364,282.35635061663197
66,66,86.71160604496364,89.71391794028912,272.6888818190928,282.13049074493756
67,67,86.61924704655296,89.6437173749366,272.39843313348683,281.90972544554825
68,68,86.52678937082237,89.5734617211565,272.10767412946734,281.6887869052007
69,69,86.42318160950563,89.4947572036001,271.78185056478105,281.4412785511813
70,70,86.31400506344035,89.41184962971431,271.4385143999316,281.1805525117452
71,71,86.19622930979475,89.32244330048246,271.06813562329626,280.89938931966753
72,72,86.09002771012551,89.24185120150489,270.73415500891133,280.6459449382746
73,73,85.98394539610719,89.16137622470272,270.400549521597,280.3928688802989
74,74,85.88810591221316,89.08869446846705,270.0991554765642,280.1643007826642
75,75,85.79639123656135,89.01916126503978,269.81073304396705,279.94563418938196
76,76,85.7099033883751,88.95360910694366,269.53874783127685,279.73948710587865
77,77,85.62110037352755,88.88632077062624,269.259481929912,279.52788012468227
78,78,85.53119644820988,88.81821745326855,268.97675390786026,279.3137102078108
79,79,85.44262069315786,88.75113918358241,268.6982026884434,279.10276383985183
80,80,85.35428023104542,88.68425787023216,268.4203914134414,278.892436856142
81,81,85.25881713824153,88.61200523536952,268.12018103539594,278.6652182506077
82,82,85.16788022486297,88.54319875751486,267.83420449365804,278.4488370490144
83,83,85.07975916111043,88.47654194607243,267.5570831781224,278.23921607430384
84,84,84.98981053815187,88.4085221422252,267.2742145918455,278.0253087890087
85,85,84.89202754192135,88.33460023277095,266.96670862904284,277.7928406829451
86,86,84.80156863463058,88.26623592132785,266.6822353110547,277.5778499972221
87,87,84.68746211508741,88.1800284320571,266.3233954666357,277.3067464515043
88,88,84.5670960084156,88.08912638241273,265.9448706008843,277.0208795485232
89,89,84.45040425361387,88.00103322607269,265.5779007616002,276.74384599564655
90,90,84.33922271332824,87.9171310606605,265.2282593320124,276.47999218515906
91,91,84.21842875623823,87.8260095916389,264.8483889710333,276.1934352566168
92,92,84.11344293185759,87.74684243108912,264.51823170186253,275.9444719923922
93,93,84.02203188606106,87.67793397506586,264.2307641182124,275.72777009194397
94,94,83.92793226703097,87.60702053396122,263.9348415645509,275.5047629554974
95,95,83.83897985260117,87.54000635468122,263.6551058344412,275.2940181377344
96,96,83.75449713286469,87.47637785061744,263.3894263086113,275.0939205220129
97,97,83.66234431537978,87.40699299804253,263.0996260165557,274.87572045945126
98,98,83.56421514812973,87.33313183342032,262.7910314222245,274.64344338249066
99,99,83.46889164377014,87.26140571430176,262.49126001905825,274.41788055287907
100,100,83.37442768609264,87.1903490127117,262.1941917006843,274.19442289379367
101,101,83.28113051439058,87.12019216634873,261.90079266693647,273.97379508098675
102,102,83.18918709906704,87.05107493084928,261.6116508985069,273.75643661512004
103,103,83.09386236849654,86.97943855652125,261.31187563917774,273.53115601308673
104,104,82.98473076199791,86.89745480887024,260.96868079935666,273.2733352034629
105,105,82.87224379415882,86.81298228476999,260.6149340879492,273.0076877406609
106,106,82.76567334277792,86.73298274617743,260.2797935162598,272.7561068310242
107,107,82.66113763869606,86.65453903250952,259.951051776181,272.50941864772904
108,108,82.56009340446124,86.5787421227741,259.63328993893083,272.27105407920317
109,109,82.47122919869834,86.51210371900432,259.35383160562924,272.06149099256436
110,110,82.37758626508777,86.44190395453062,259.0593452269168,271.8407282117623
111,111,82.28124277069684,86.36970349662928,258.75636618000135,271.61367369126674
112,112,82.19102885968778,86.30211851861888,258.4726633212995,271.401133837353
113,113,82.11032997973507,86.2416798684834,258.21888313728414,271.2110676088996
114,114,82.02458807278511,86.17748297122004,257.9492437453082,271.0091825218915
115,115,81.94119164103456,86.11506068711,257.6869803556765,270.81287820196303
116,116,81.86281553136044,86.0564127850947,257.44050477203564,270.6284434815025
117,117,81.77464802471374,85.99045744321148,257.16323740383814,270.4210284738874
118,118,81.68499355179587,85.92341079875474,256.8812938545816,270.21018156030186
119,119,81.60277210927451,85.86194152730297,256.6227255470003,270.01687425505224
120,120,81.5072959675243,85.79058546315083,256.3224741328959,269.79247516671603
121,121,81.39827167114461,85.70913355400202,255.97961675973784,269.53632687191566
122,122,81.29684886759921,85.63338916870296,255.6606644054773,269.2981274811609
123,123,81.18088330554295,85.54681769626282,255.29597828225815,269.0258792886307
124,124,81.06439929014294,85.45989549441654,254.9296617375876,268.7525281294511
