is_expiry,days,range_pct_med,range_pct_mean,fh_range_pct_med,abs_move_1430_1525_med,abs_move_1430_1525_mean,p_abs_last_hour_gt_0.3pct,p_abs_last_hour_gt_0.5pct,abs_move_1500_1525_med,p_abs_1500_1525_gt_0.25pct,range_1430_1525_med,last_hour_same_sign_pct,straddle_open_pct_med,p_range_gt_straddle,p_range_gt_2straddle,p_close_outside_straddle
False,1649.0,1.23,1.55,0.7,0.2,0.3,33.54,18.13,0.13,23.83,0.46,49.42,0.76,84.72,28.08,32.81
True,442.0,1.25,1.53,0.62,0.22,0.31,39.37,18.55,0.15,29.64,0.5,54.3,0.75,83.94,30.77,35.52
