entry_minute,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
5,45,64.44,7.52,21.08,33.82,-112.6,75.51,-195.48,266.76,1.61
45,45,68.89,12.37,30.24,50.69,-105.56,76.71,-236.78,250.6,1.94
225,45,82.22,24.24,45.83,77.09,-90.45,71.43,-250.37,197.4,4.06
315,45,75.56,18.47,39.19,39.01,-67.16,64.0,-167.91,159.38,3.03
345,45,73.33,10.07,32.87,16.64,-87.0,49.98,-144.4,115.8,2.02
