regime,signal,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
expiry_CASmodel,EMA9x21,118,36,48.31,0.07,20.34,27.12,5.08,22.27,-3.67,-11.44,-13.08,32.2,-8.52,22.88,-11.32,122.63
expiry_CASmodel,EMA9x21_trend,89,35,51.69,0.08,20.22,26.97,5.62,22.45,-4.09,-9.84,-11.52,32.58,-9.98,21.35,-13.02,122.92
expiry_CASmodel,LateBreak_1415,18,18,38.89,0.05,33.33,33.33,16.67,13.45,5.13,-6.98,-9.62,27.78,-5.24,33.33,-11.45,74.63
expiry_CASmodel,MidBreak_1015_1200,30,29,30.0,0.07,13.33,23.33,3.33,24.99,-5.01,0.37,-1.14,50.0,2.34,23.33,7.85,128.67
expiry_CASmodel,ORB15,61,45,39.34,0.09,19.67,24.59,4.92,23.35,0.76,-3.51,-5.06,42.62,-4.74,22.95,-7.67,134.38
expiry_CASmodel,ORB30,53,44,41.51,0.09,16.98,22.64,7.55,25.54,2.26,-2.01,-3.59,39.62,-1.91,22.64,-3.15,126.81
expiry_CASmodel,ORB30_tight,42,34,40.48,0.08,19.05,19.05,7.14,22.5,0.7,-2.35,-3.92,38.1,-4.98,19.05,-8.39,128.35
expiry_CASmodel,PDH_PDL,25,23,52.0,0.1,16.0,20.0,8.0,33.9,1.05,-1.42,-3.08,56.0,2.5,20.0,0.58,130.41
expiry_CASmodel,RSI_mom,227,45,48.02,0.09,21.59,29.07,6.61,28.8,1.83,-3.85,-5.62,39.21,-1.33,27.75,-4.63,118.51
expiry_CASmodel,RSI_rev,99,40,43.43,0.09,15.15,31.31,8.08,25.14,1.77,-1.11,-2.81,37.37,-6.49,26.26,-8.23,122.54
expiry_CASmodel,RangeExp,36,25,50.0,0.11,27.78,33.33,11.11,27.6,-0.73,-3.25,-4.85,36.11,-0.98,33.33,-5.01,133.99
expiry_CASmodel,SessMean_cross,260,40,45.38,0.09,23.85,33.46,9.62,27.12,-0.04,-0.32,-2.08,44.62,-3.61,28.08,-4.75,122.31
