entry_minute,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
5,442,55.88,10.15,16.92,31.59,-53.06,81.22,-54.17,249.22,1.65
45,442,52.04,3.35,6.77,12.09,-53.66,77.73,-55.35,210.4,1.24
225,442,58.82,9.22,24.78,18.46,-54.4,73.69,-56.32,159.19,1.57
315,442,62.44,9.35,25.84,12.91,-56.22,60.4,-60.42,106.63,1.72
345,442,64.48,4.54,20.5,5.43,-58.03,43.44,-62.77,74.55,1.5
