entry_minute,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
5,442,61.31,0.6,24.88,9.85,-159.49,81.22,-456.93,249.22,1.13
45,442,59.95,-7.42,22.26,-6.68,-191.91,77.96,-404.73,210.4,0.91
225,442,66.29,-0.72,30.02,7.07,-175.46,73.69,-640.28,159.19,1.15
315,442,65.61,1.21,28.07,6.75,-143.32,60.4,-443.96,106.63,1.26
345,442,65.61,-2.55,20.84,0.28,-124.78,43.44,-403.97,74.55,1.02
