date,days,range_pct_med,abs_last_hour_med,p_last_hour_gt_0_3,p_range_gt_straddle,p_close_outside_straddle,straddle_pct_med
2023,33,0.691,0.15,21.212,0.879,0.364,0.407
2024,12,0.686,0.111,8.333,0.667,0.167,0.561
