entry_minute,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
5,268,48.51,8.68,-8.04,10.06,-33.17,81.5,-34.1,88.84,1.69
45,268,44.03,4.33,-31.64,5.13,-33.98,78.67,-35.73,74.48,1.38
225,268,47.39,6.8,-14.14,5.21,-35.26,72.9,-37.27,55.42,1.54
315,268,50.0,6.35,0.4,3.39,-37.97,61.55,-39.44,38.58,1.57
345,268,57.84,4.08,13.32,1.4,-39.19,45.13,-44.07,27.18,1.37
