year,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
2016,31,45.16,2.99,-14.14,6.51,-33.42,70.31,-33.59,131.35,1.29
2017,52,59.62,23.32,38.1,32.61,-33.6,81.55,-34.17,127.95,3.07
2018,52,50.0,9.95,5.74,19.29,-33.11,76.23,-33.66,166.86,1.79
2019,52,48.08,8.74,-17.53,19.92,-32.52,80.09,-32.81,214.12,1.52
2020,53,58.49,18.14,21.43,73.55,-31.94,81.73,-32.23,308.99,2.76
2021,52,53.85,13.31,14.46,41.9,-31.6,80.94,-31.74,322.44,1.91
2022,52,40.38,3.5,-30.94,19.87,-32.04,82.97,-32.35,322.34,1.36
2023,52,38.46,2.01,-31.31,14.62,-32.06,81.49,-32.31,239.04,1.33
2024,46,50.0,15.13,7.62,63.81,-31.42,77.49,-31.69,347.45,2.2
