signal,direction,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
LateBreak_1415,-1,101,101,50.5,0.21,53.47,55.45,42.57,66.93,34.68,29.78,20.27,37.62,-7.69,37.62,-2.87,46.88
LateBreak_1415,1,100,100,54.0,0.21,46.0,52.0,41.0,58.52,34.11,49.55,40.29,39.0,-6.0,38.0,-1.08,44.17
ORB30,-1,275,275,48.73,0.16,21.82,32.0,13.45,25.99,7.09,5.87,2.85,35.64,-5.18,26.55,-4.59,99.3
ORB30,1,262,262,50.0,0.16,21.76,31.68,14.5,23.76,5.02,5.93,2.99,38.93,-2.18,29.01,-1.42,92.25
RangeExp,-1,234,164,50.0,0.25,46.58,52.14,31.62,52.38,23.24,15.66,10.92,42.31,-0.42,39.74,1.51,75.08
RangeExp,1,165,139,52.12,0.2,35.76,41.21,29.7,36.09,15.57,18.66,12.87,35.76,-4.76,34.55,-0.81,84.19
