vol_regime,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
high,75,52.0,10.05,15.61,16.56,-32.63,81.78,-33.3,115.69,1.96
low,93,38.71,-0.48,-32.01,0.09,-33.65,75.7,-34.1,75.31,1.01
mid,100,55.0,16.16,9.92,14.45,-32.56,82.36,-33.46,96.74,2.11
