vol_regime,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
high,13,84.62,25.15,29.44,101.34,-68.94,74.36,-114.53,391.1,3.21
low,22,45.45,-13.58,-5.98,-32.26,-131.99,75.98,-195.48,245.28,0.59
mid,10,80.0,31.01,52.63,91.45,-33.75,68.28,-36.33,285.45,6.04
