entry_minute,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
5,268,37.69,-6.87,-27.2,-9.48,-91.87,123.17,-95.18,88.84,0.71
45,268,41.04,-0.23,-24.96,-2.92,-91.22,159.47,-94.29,74.48,0.89
225,268,34.7,-7.94,-34.74,-7.19,-89.53,171.11,-93.37,55.42,0.69
315,268,36.19,-6.54,-22.6,-3.97,-87.36,142.29,-91.58,38.58,0.72
345,268,35.45,-8.91,-24.7,-2.7,-81.29,130.18,-85.89,27.18,0.72
