entry_minute,vol_regime,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
315,high,133,27.07,-19.02,-46.37,-32.46,-84.02,132.57,-88.57,127.9,0.45
315,low,169,36.69,1.21,-25.2,-0.79,-85.94,181.0,-90.73,91.47,0.97
315,mid,140,29.29,-18.76,-37.38,-24.51,-84.4,108.57,-89.26,114.85,0.43
345,high,133,27.82,-15.16,-37.66,-17.51,-77.73,130.8,-83.38,91.34,0.54
345,low,169,40.24,-6.13,-24.41,-3.16,-80.81,153.28,-87.34,63.61,0.84
345,mid,140,32.14,-12.98,-34.4,-11.47,-77.3,116.19,-85.5,78.64,0.59
