year,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
2023,33,48.48,1.11,-5.65,9.53,-51.92,76.45,-51.96,254.8,1.18
2024,12,58.33,9.71,25.26,41.5,-51.08,70.89,-51.11,395.05,1.5
