entry_minute,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
5,45,31.11,-15.44,-29.12,-59.74,-90.24,111.08,-92.95,266.76,0.48
45,45,26.67,-18.62,-42.05,-69.28,-89.59,113.72,-91.2,250.6,0.44
225,45,22.22,-32.31,-48.83,-94.47,-88.54,80.06,-90.48,197.4,0.21
315,45,20.0,-29.41,-41.96,-55.35,-85.8,87.77,-91.7,159.38,0.27
345,45,28.89,-17.76,-32.32,-26.5,-83.29,124.76,-85.02,115.8,0.47
