entry_minute,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
5,45,33.33,-8.53,-31.04,-22.97,-31.87,47.04,-31.94,269.03,0.61
45,45,28.89,-10.09,-31.3,-19.21,-32.02,47.58,-32.25,257.42,0.66
225,45,51.11,0.77,1.87,23.5,-32.26,50.96,-32.62,217.05,1.77
315,45,57.78,1.29,9.11,9.37,-32.62,34.53,-33.39,196.85,1.47
345,45,62.22,-0.07,6.76,2.34,-32.67,22.34,-32.86,171.13,1.16
