entry_minute,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
5,442,36.43,-4.82,-28.3,-18.11,-91.94,153.71,-95.32,249.22,0.81
45,442,40.27,2.37,-25.0,-1.67,-91.31,179.1,-95.42,210.4,0.98
225,442,34.84,-5.19,-34.36,-15.41,-89.49,170.02,-93.33,159.19,0.75
315,442,31.45,-11.2,-36.37,-17.83,-84.55,138.79,-90.73,106.63,0.58
345,442,33.94,-11.02,-33.85,-10.11,-79.62,138.78,-87.34,74.55,0.64
