signal,direction,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
LateBreak_1415,-1,72,72,37.5,0.13,47.22,52.78,40.28,53.66,9.45,16.02,5.61,34.72,-9.95,36.11,-1.79,19.78
LateBreak_1415,1,68,68,61.76,0.1,41.18,47.06,32.35,43.18,17.08,22.89,10.21,39.71,-12.15,35.29,-0.85,16.42
ORB30,-1,180,180,48.89,0.13,27.22,35.0,13.89,29.89,-1.84,2.27,-1.33,43.89,-2.05,31.67,-0.31,35.07
ORB30,1,159,159,61.64,0.14,20.13,30.19,10.69,27.49,5.55,6.76,0.59,44.65,-4.03,25.16,-1.02,33.5
RangeExp,-1,125,99,43.2,0.15,36.8,41.6,27.2,37.62,1.69,-3.54,-10.33,35.2,-6.43,36.0,0.32,26.07
RangeExp,1,76,68,59.21,0.15,46.05,48.68,27.63,46.79,53.93,51.63,27.0,46.05,2.51,46.05,0.97,23.92
