is_expiry,days,range_pct_med,range_pct_mean,fh_range_pct_med,abs_move_1430_1525_med,abs_move_1430_1525_mean,p_abs_last_hour_gt_0.3pct,p_abs_last_hour_gt_0.5pct,abs_move_1500_1525_med,p_abs_1500_1525_gt_0.25pct,range_1430_1525_med,last_hour_same_sign_pct,straddle_open_pct_med,p_range_gt_straddle,p_range_gt_2straddle,p_close_outside_straddle
False,122.0,0.92,1.1,0.54,0.14,0.2,21.31,9.02,0.08,17.21,0.33,52.46,0.48,89.34,41.8,34.43
True,35.0,0.91,1.15,0.62,0.13,0.21,22.86,5.71,0.1,14.29,0.34,54.29,0.48,91.43,37.14,31.43
