is_expiry,days,range_pct_med,range_pct_mean,fh_range_pct_med,abs_move_1430_1525_med,abs_move_1430_1525_mean,p_abs_last_hour_gt_0.3pct,p_abs_last_hour_gt_0.5pct,abs_move_1500_1525_med,p_abs_1500_1525_gt_0.25pct,range_1430_1525_med,last_hour_same_sign_pct,straddle_open_pct_med,p_range_gt_straddle,p_range_gt_2straddle,p_close_outside_straddle
False,995.0,0.99,1.23,0.54,0.19,0.25,30.15,11.56,0.11,17.69,0.39,52.86,0.63,86.23,29.65,35.68
True,268.0,0.96,1.15,0.48,0.17,0.24,30.6,10.82,0.11,17.16,0.39,57.84,0.62,86.57,28.73,36.19
