entry_minute,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
5,268,36.19,1.4,-23.46,-1.61,-58.42,125.23,-63.07,89.88,0.93
45,268,39.93,9.47,-17.96,5.14,-50.82,142.32,-59.88,77.27,1.29
225,268,31.72,2.87,-19.62,-0.04,-43.11,121.71,-58.57,63.61,1.0
315,268,35.82,1.3,-10.88,-0.42,-30.92,70.09,-44.03,53.66,0.94
345,268,27.99,-2.16,-8.78,-1.2,-20.85,34.81,-43.47,48.01,0.72
