vol_regime,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
high,75,68.0,1.35,25.47,10.74,-134.16,81.9,-334.1,115.69,1.38
low,93,51.61,-12.04,5.31,-8.68,-137.41,76.2,-237.55,75.31,0.68
mid,100,71.0,16.44,33.89,14.85,-99.84,82.36,-395.3,96.74,1.79
