signal,year,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,2023,1452,33,50.0,0.09,22.04,34.09,12.67,31.6,-0.85,-4.31,-6.38,39.46,-4.67,28.31,-5.74,102.14
BASELINE_every_bar,2024,528,12,50.0,0.11,16.48,26.14,7.2,25.69,-4.16,-9.72,-11.0,34.66,-5.99,23.11,-11.37,156.21
LateBreak_1415,2023,18,18,33.33,0.06,38.89,38.89,33.33,14.62,28.24,4.57,-0.5,27.78,-8.08,33.33,-6.83,52.81
LateBreak_1415,2024,3,3,33.33,0.05,0.0,0.0,0.0,17.55,-40.67,-94.56,-95.4,0.0,-31.37,0.0,-40.14,141.41
ORB30,2023,41,32,36.59,0.09,14.63,21.95,9.76,24.77,6.9,-1.6,-3.8,36.59,-6.97,19.51,-11.21,114.49
ORB30,2024,12,12,58.33,0.14,25.0,33.33,8.33,37.55,4.83,0.7,-0.38,50.0,5.31,33.33,14.68,186.34
RangeExp,2023,21,15,61.9,0.11,38.1,42.86,28.57,36.16,18.62,17.12,13.9,42.86,2.1,38.1,0.75,95.14
RangeExp,2024,16,10,25.0,0.11,18.75,18.75,6.25,24.67,-27.08,-35.3,-36.58,18.75,-16.46,18.75,-21.71,162.45
