year,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
2016,31,64.52,-6.76,18.68,-6.34,-142.72,70.31,-416.64,131.35,0.86
2017,52,65.38,1.7,43.18,7.95,-134.81,81.55,-456.93,127.95,1.18
2018,52,63.46,9.51,25.39,16.06,-124.03,78.18,-166.92,166.86,1.42
2019,52,55.77,0.69,12.83,8.64,-117.57,80.09,-269.15,214.12,1.14
2020,53,71.7,11.65,30.47,46.75,-102.22,81.73,-381.52,308.99,1.57
2021,52,63.46,1.19,31.19,10.37,-142.59,80.94,-293.71,322.44,1.11
2022,52,48.08,-11.89,-0.79,-16.29,-187.71,83.44,-334.44,322.34,0.85
2023,52,51.92,-12.96,7.72,-18.87,-182.86,81.49,-230.24,239.04,0.8
2024,46,69.57,10.17,44.21,36.16,-158.83,80.62,-296.59,347.45,1.33
