year,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
2019,46,60.87,8.69,15.13,6.8,-53.63,80.76,-54.08,64.36,1.57
2020,53,69.81,21.6,28.92,26.58,-52.93,82.24,-54.1,86.34,3.25
2021,52,63.46,14.5,30.71,15.86,-52.6,79.82,-52.68,103.63,1.98
2022,52,51.92,0.0,2.0,2.8,-52.32,77.65,-53.0,111.53,1.13
2023,52,40.38,-6.75,-52.0,-2.4,-53.02,81.34,-53.27,77.56,0.9
2024,13,69.23,20.96,41.1,25.4,-51.73,82.52,-51.85,119.36,2.3
