,minute,preCAS_pct,CAS_pct,preCAS_pts,CAS_pts
0,0,100.0,100.0,137.50119862415158,137.50119862415158
1,1,98.5606269449111,98.89487454435091,135.52204342073128,135.98163787633348
2,2,97.38099379779435,97.99200362785972,133.90003370407794,134.7401795441292
3,3,96.36474537982642,97.2162877962297,132.50267994837304,133.67356097772063
4,4,95.92526100608717,96.88143907242367,131.89838366671574,133.21313996890967
5,5,95.55949988251085,96.60304845326552,131.39545773769714,132.83034953071
6,6,95.22841746367942,96.35127989707142,130.9402154433701,132.4841647481844
7,7,94.91154129827648,96.11051814449637,130.50450691778678,132.1531144525652
8,8,94.61068446906947,95.88211369346372,130.09082517148454,131.8390555946844
9,9,94.33447226093506,95.6725794657877,129.7110300745535,131.550943520102
10,10,94.06283576386356,95.46666724717969,129.33752663517953,131.2678117514024
11,11,93.79839384056918,95.26635348395996,128.97391582098498,130.99237792596614
12,12,93.5415754954854,95.07195201876317,128.6207875182081,130.72507358117764
13,13,93.28849050353142,94.88050989085484,128.27279262073353,130.4618383606321
14,14,93.01796176338999,94.6760199854299,127.90081236041624,130.18066228960743
15,15,92.75590332102762,94.4780787060131,127.54047886107219,129.90849065783732
16,16,92.4924234309749,94.27920954797881,127.17819085411611,129.6350431818464
17,17,92.23069371566693,94.08180702740668,126.81830935841208,129.36361234994547
18,18,91.9649288917108,93.88151060989092,126.45287953995103,129.08820237506006
19,19,91.72143012912751,93.69812827789133,126.11806582276404,128.8360494704957
20,20,91.48120969877803,93.51734031889065,125.78775985169341,128.58746385990162
21,21,91.24256772537663,93.33786435190409,125.45962427784616,128.3406822540528
22,22,91.01546169651648,93.16717972868607,125.14735076601573,128.10598885126092
23,23,90.79223290006179,92.99951945689267,124.84040849521625,127.87545396792848
24,24,90.57529033866606,92.83668598439729,124.5421098729712,127.65155599148602
25,25,90.37066914201645,92.6831964327942,124.2607532749389,127.44050601826893
26,26,90.18064929219626,92.54074319538587,123.99947370381233,127.24463110935358
27,27,89.99211851077182,92.39948623091885,123.74024161957823,127.05040109007132
28,28,89.81069491313194,92.26362986955141,123.49078199823634,126.86359696478394
29,29,89.61505235500941,92.11720925382689,123.22177113579892,126.66226686312984
30,30,89.41477642737078,91.9674110509616,122.94638933474016,126.45629253867264
31,31,89.20691689840886,91.81203746061438,122.66057999096302,126.24265198959984
32,32,88.99730848393112,91.65545697694388,122.37236590863904,126.02735194774141
33,33,88.78684408616354,91.49833900685954,122.08297483903152,125.81131285562151
34,34,88.59623940574821,91.35613549855195,121.8208911188267,125.61578132721297
35,35,88.41445767402872,91.22059330416793,121.57093905883266,125.42940918529348
36,36,88.23887108126273,91.08974379124912,121.32950538915611,125.24948953663625
37,37,88.07083368013603,90.96458786279668,121.09845194847003,125.07739863486495
38,38,87.90221876108868,90.83906874979924,120.86660441372078,124.90480834999107
39,39,87.73566263252945,90.71514834667099,120.63758774056987,124.73441631034984
40,40,87.5761534814237,90.5965328586605,120.41826074588425,124.57131859258152
41,41,87.41272922876837,90.47506900497692,120.1935504396406,124.40430433787151
42,42,87.25063507642552,90.35465699093402,119.97066903726954,124.23873637527504
43,43,87.10203784164533,90.24432675360136,119.76634605832442,124.08703097649777
44,44,86.94694762246672,90.1292325138945,119.55309514800501,123.92877501735347
45,45,86.77913966491704,90.00476600675687,119.32235719498749,123.75763207815362
46,46,86.61464020922341,89.88282004224261,119.09616847167854,123.58995491527276
47,47,86.44811934283824,89.7594429691838,118.8672002844396,123.42030996098947
48,48,86.27338561846578,89.63005411174888,118.62693931902686,123.24239873113038
49,49,86.11703477095595,89.51434143678105,118.41195502964183,123.08329241608953
50,50,85.9622954612327,89.39988101716843,118.19918662402961,122.92590796717195
51,51,85.80879498759302,89.28639575222311,117.9881216328813,122.76986436761035
