vrp,signal,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
vrp1.0,BASELINE_every_bar,11790,268,49.94,0.12,23.82,35.51,16.68,30.08,-0.63,-0.9,-5.25,37.78,-7.22,28.39,-2.04,28.24
vrp1.0,LateBreak_1415,140,139,49.29,0.12,46.43,52.14,37.14,53.67,18.42,26.37,13.41,40.0,-10.66,37.14,-1.08,17.14
vrp1.0,ORB30,339,264,54.87,0.14,25.96,35.4,13.86,30.28,2.65,6.15,0.83,44.84,-2.7,30.68,-0.56,32.62
vrp1.0,RangeExp,201,142,49.25,0.15,42.79,45.77,27.86,45.26,26.85,23.21,6.98,39.3,-3.13,40.3,0.62,24.25
vrp1.25,BASELINE_every_bar,11790,268,49.94,0.12,18.5,29.3,12.31,24.18,-3.58,-5.98,-9.52,36.08,-7.89,24.45,-2.63,32.33
vrp1.25,LateBreak_1415,140,139,49.29,0.12,42.14,47.14,32.86,45.38,6.41,10.19,0.4,35.71,-11.68,33.57,-1.71,19.5
vrp1.25,ORB30,339,264,54.87,0.14,21.24,28.02,10.62,24.97,0.31,2.08,-2.1,43.07,-4.17,24.48,-1.01,37.35
vrp1.25,RangeExp,201,142,49.25,0.15,37.81,42.29,25.37,37.04,14.8,10.02,-0.54,37.31,-2.96,38.31,0.51,26.37
