entry_minute,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
5,442,37.78,5.36,-22.54,6.72,-57.63,151.0,-61.53,252.53,1.1
45,442,39.14,13.31,-16.4,21.99,-52.45,178.86,-63.5,218.27,1.44
225,442,33.71,6.13,-17.9,4.81,-45.31,137.79,-62.72,182.02,1.13
315,442,32.81,1.3,-12.94,-1.92,-31.46,76.3,-44.43,150.06,0.91
345,442,29.41,-0.76,-7.09,-1.68,-21.69,39.54,-34.14,133.02,0.85
