vol_regime,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
high,75,65.33,11.61,25.35,20.61,-52.63,81.78,-53.3,115.69,2.19
low,93,44.09,-5.53,-23.03,-3.22,-53.52,76.2,-54.1,75.31,0.84
mid,100,65.0,18.64,30.32,16.5,-52.42,82.36,-53.46,96.74,2.13
