vol_regime,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
high,133,60.9,4.57,25.52,20.34,-133.34,80.57,-381.52,312.58,1.22
low,169,53.85,-14.72,10.32,-28.0,-173.77,81.19,-456.93,194.45,0.67
mid,140,70.71,15.33,31.72,45.57,-121.03,81.83,-187.01,265.91,1.92
