year,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
2023,33,57.58,1.54,15.74,10.34,-116.3,76.45,-195.48,254.8,1.18
2024,12,83.33,23.96,34.25,98.42,-72.74,70.89,-114.53,395.05,2.98
