date,open,close,range_pct,oc_move_pct,fh_range_pct,move_0915_1430,move_1430_1525,move_1500_1525,move_1415_1525,range_1430_1525_pct,range_1500_1525_pct,straddle_open_pts,straddle_open_pct,sigma_day,is_expiry,is_monthly,gap_pct,rv20,vol_regime,range20,range_gt_straddle,range_gt_2straddle,close_outside_straddle,last_hour_same_sign
2019-02-11,10897.85,10899.9,0.6753625715164033,0.01881104988596949,0.6753625715164033,0.029363590065911715,-0.06008595502267067,0.04315965398813404,-0.06971134001706458,0.4371138560046935,0.2337049348931928,60.97140487224351,0.559481043253885,0.007008601747513904,False,False,-0.015549823463778534,0.6371456134103548,mid,1.0067284997706787,True,False,False,False
2019-02-12,10877.2,10828.4,0.7975398080388335,-0.44864487184202995,0.44588680910528444,0.13100797999485714,-0.5550225176629398,0.02447279594766094,-0.4627183207965957,0.6477558084552661,0.13483125314568115,62.7025344684962,0.5764584127210697,0.0069020740454559335,False,False,-0.18532280112660837,0.6274612768596303,mid,0.9873964722853502,True,False,False,False
2019-02-13,10887.65,10774.25,1.0847152507657627,-1.0415470739783106,0.4932193815928957,-0.38116581631481017,-0.6292555422891977,-0.5109270071308236,-0.6759589908996722,0.6914896069112082,0.5810813929337817,60.03832430056627,0.5514351058361195,0.0068132100496642875,False,False,0.3892541834435326,0.6193827317876625,mid,0.9722889108681126,True,False,True,True
2019-02-14,10780.0,10759.8,0.6238404452690167,-0.18738404452690594,0.4192949907235689,-0.15862708719851515,-0.06782558604092603,0.1611055753704127,-0.052038806081111666,0.3256557247581904,0.1983554193866915,62.092067238135314,0.5759932025801049,0.0069672101890703554,True,False,0.10998445367427223,0.6333827444609413,mid,1.0033523618399005,True,False,False,True
2019-02-15,10731.9,10728.8,1.4936777271498922,-0.02888584500414515,0.9779256236081285,-0.09644145025577977,0.027514678381401758,0.20743204731694664,0.13024541223374264,0.6440300143169531,0.4559767526606363,61.15251876538787,0.569820057635534,0.006931805045064157,False,False,0.19005929478244088,0.6301640950058325,mid,0.9953814390594745,True,True,False,False
2019-02-18,10738.55,10631.3,1.2133854198192426,-0.9987381909103199,0.9824417635528074,-0.6476665844085017,-0.31774299372011594,-0.137093063654381,-0.26773196794718235,0.4147530227762677,0.24930279726188784,62.43261103343593,0.5813877202549315,0.0072040691246862765,False,False,0.09180896279175066,0.6549153749714797,mid,1.0351673605628249,True,True,True,True
2019-02-19,10652.55,10605.15,1.2846689290357742,-0.44496388188742797,0.5430624592233648,0.3553139858531562,-0.8072663324103835,-0.041476174765520124,-0.7306581540232893,1.059361670283619,0.35490408634585136,62.05829686535435,0.5825675248213278,0.007298365086563313,False,False,0.0507934119063691,0.6634877351421193,mid,1.0494505216648555,True,True,False,False
2019-02-20,10659.4,10742.25,0.9925511754882945,0.7772482503705769,0.3907349381766465,-0.04596881625607008,0.8564456333004733,0.4092712075836502,0.8753813658765486,0.9287155661926783,0.5555062395170871,63.79404240693293,0.5984768599258207,0.007451958031801749,False,False,0.47429786471668844,0.6774507301637953,high,1.0748292007911777,True,False,True,False
2019-02-21,10737.95,10791.95,0.8116074297235472,0.5028892851987488,0.32641239715216674,0.5820477837948479,-0.06018267757361695,0.059791425260735664,0.012508570687330689,0.3064687119518202,0.1492468134414697,64.00091344858356,0.5960254373375137,0.00738084954670315,True,False,0.017221717982729423,0.6709863224275591,mid,1.064325399731397,True,False,False,False
2019-02-22,10770.5,10789.7,0.3959890441483649,0.17826470451698384,0.37138480107701594,0.26646859477277296,-0.03796577524260991,0.06766903353789822,0.04494798544982803,0.21158974738869882,0.1297762287027939,65.79478278930856,0.6108795579528207,0.007420312108579541,False,False,-0.0857120353596863,0.6745738280526855,high,1.0737825385717614,False,False,False,False
