entry_minute,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
5,268,63.43,2.34,23.24,5.53,-133.08,81.8,-395.3,88.84,1.23
45,268,59.7,-4.84,18.85,-0.63,-158.38,79.49,-415.64,74.48,0.97
225,268,64.55,1.35,29.21,3.41,-162.09,72.92,-369.23,55.42,1.21
315,268,58.58,-3.73,18.52,0.03,-141.37,61.81,-337.74,38.58,1.0
345,268,62.69,-4.25,15.77,-0.97,-121.82,45.13,-366.49,27.18,0.85
