date,days,range_pct_med,abs_last_hour_med,p_last_hour_gt_0_3,p_range_gt_straddle,p_close_outside_straddle,straddle_pct_med
2016,31,1.309,0.166,32.258,0.968,0.387,0.749
2017,52,0.851,0.205,34.615,0.865,0.327,0.579
2018,52,1.106,0.22,40.385,0.827,0.327,0.685
2019,52,1.235,0.204,36.538,0.904,0.346,0.742
2020,53,2.056,0.304,50.943,0.792,0.34,1.386
2021,52,1.364,0.244,44.231,0.808,0.327,0.978
2022,52,1.498,0.329,57.692,0.827,0.481,0.904
2023,52,1.099,0.193,28.846,0.885,0.423,0.566
2024,46,0.948,0.125,23.913,0.717,0.239,0.725
