year,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
2023,33,33.33,-1.72,-31.5,-0.69,-31.92,76.45,-31.96,254.8,0.99
2024,12,33.33,-3.2,-30.96,-8.43,-31.16,65.11,-31.22,395.05,0.9
