date,days,range_pct_med,abs_last_hour_med,p_last_hour_gt_0_3,p_range_gt_straddle,p_close_outside_straddle,straddle_pct_med
2019,46,0.887,0.195,30.435,0.87,0.304,0.592
2020,53,1.127,0.204,39.623,0.774,0.283,0.766
2021,52,0.974,0.167,28.846,0.827,0.327,0.67
2022,52,1.196,0.25,42.308,0.885,0.481,0.664
2023,52,0.777,0.137,13.462,0.962,0.442,0.433
2024,13,0.801,0.151,23.077,0.923,0.231,0.57
