vol_regime,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
high,133,55.64,12.84,21.32,48.38,-51.88,80.57,-52.42,312.58,1.81
low,169,49.11,3.59,-8.38,5.93,-53.49,81.19,-54.17,194.45,1.13
mid,140,64.29,15.53,24.88,46.62,-52.69,81.83,-53.05,265.91,2.16
