entry_minute,vol_regime,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
315,high,13,15.38,-48.2,-57.8,-117.44,-84.01,34.09,-85.7,241.1,0.08
315,low,22,22.73,-19.4,-32.52,-24.15,-87.74,127.47,-91.7,131.26,0.55
315,mid,10,20.0,-27.01,-30.25,-43.29,-78.67,50.77,-80.51,154.23,0.25
345,high,13,15.38,-30.25,-32.32,-51.13,-73.94,41.45,-74.01,156.21,0.18
345,low,22,40.91,-0.55,-31.96,-2.05,-84.11,141.54,-85.02,97.64,0.95
345,mid,10,20.0,-39.39,-61.97,-48.28,-77.65,42.17,-78.88,120.5,0.17
