vol_regime,days,range_pct_med,abs_last_hour_med,p_range_gt_straddle,p_close_outside_straddle
low,169,1.074,0.214,0.905,0.426
mid,140,1.269,0.242,0.836,0.314
high,133,1.471,0.219,0.759,0.308
