entry_minute,n,win_rate,mean_pct,median_pct,mean_pts,p05_pct,p95_pct,worst_pct,premium0_med,profit_factor
5,268,47.76,1.8,-8.42,3.51,-33.13,53.54,-34.06,89.88,1.24
45,268,42.91,-5.44,-31.58,-3.32,-33.85,44.96,-35.52,77.27,0.77
225,268,49.25,-2.94,-1.46,-1.06,-34.43,36.0,-36.42,63.61,0.89
315,268,52.61,-3.88,1.54,-1.19,-35.06,23.89,-37.36,53.66,0.79
345,268,51.49,-4.47,0.5,-1.93,-34.32,11.62,-36.18,48.01,0.49
