k,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean
1,6390,66.99,18.03,5.56,1.46,0.34,1.33,-8.27,-27.64,32.49,34.05,-11.0,-10.16
2,6390,37.35,23.6,8.95,2.79,0.66,1.36,-6.77,-33.33,28.44,37.62,-9.76,-9.16
3,6390,19.01,27.31,12.63,4.02,0.8,1.37,-7.41,-33.33,24.71,35.76,-7.35,-7.59
