k,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean
1,16146,16.38,20.56,7.42,1.77,0.35,1.33,-0.69,-28.16,33.43,33.47,-6.15,-3.77
2,16146,5.95,24.48,11.71,4.07,0.85,1.31,-5.67,-50.0,25.45,51.89,-14.96,-10.94
3,16146,1.71,19.22,10.26,4.01,0.94,1.1,-18.89,-50.0,15.45,71.41,-27.23,-23.72
